Type	String	Frequency	OMOP_ID	OMOP_Name
Condition	covid-19	2470	37311061	Disease caused by 2019-nCoV
Condition	pregnant	921	4299535	Pregnant
Condition	sars-cov-2	712	703439	Taking of swab for SARS-CoV-2
Condition	pregnancy	657	4299535	Pregnant
Measurement	polymerase chain reaction	481	4120014	Polymerase chain reaction
Condition	fever	436	437663	Fever
Condition	respiratory	428	100357	Respiratory
Condition	breastfeeding	410	4185135	Breastfeeding
Procedure	mechanical ventilation	361	19025274	oxygen
Condition	hypersensitivity	360	43021965	Hypersensitivity process
Condition	infection	355	43225	Disorder due to infection
Condition	allergy	354	43530807	Allergic disposition
Drug	oxygen	343	19025274	oxygen
Drug	hydroxychloroquine	314	1777087	hydroxychloroquine
Condition	cough	309	254761	Cough
Condition	hiv	305	706376	HIV
Condition	sars-cov-2 infection	296	703439	Taking of swab for SARS-CoV-2
Condition	pneumonia	279	255848	Pneumonia
Procedure	contraception	270	4027509	Contraception
Measurement	measurement of oxygen saturation at periphery	264	4096101	Measurement of oxygen saturation at periphery
Condition	childbearing potential	251	40757139	Counseling for women of childbearing potential with epilepsy (EPI)
Condition	covid-19 infection	235	756039	Respiratory infection due to COVID-19
Measurement	respiratory rate	212	4313591	Respiratory rate
Measurement	oxygen saturation	210	4310328	Blood oxygen saturation
Condition	contraindication	206	45882797	Contraindicated
Measurement	aspartate transaminase	203	4189605	Aspartate transaminase level
Condition	cancer	198	443392	Malignant neoplastic disease
Condition	lactating	184	4306137	Lactate
Procedure	extracorporeal membrane oxygenation	183	4052536	Extracorporeal membrane oxygenation
Observation	on room air	176	4035815	Air
Condition	"respiratory distress syndrome, adult"	174	4195694	Acute respiratory distress syndrome
Procedure	supplemental oxygen	172	36308581	Supplemental oxygen
Condition	diagnosis of covid-19	167	37311061	Disease caused by 2019-nCoV
Condition	respiratory failure	167	4256228	Respiratory failure
Condition	shortness of breath	166	312437	Dyspnea
Procedure	vaccine	166	4144375	Active immunization
Condition	medical history	146	43529712	Personal Medical History
Condition	dyspnea	142	312437	Dyspnea
Procedure	dialysis	142	706637	Dialysis
Procedure	x-ray computed tomography	139	4300757	Computerized axial tomography
Drug	chloroquine	133	1792515	chloroquine
Condition	coronavirus	132	44783749	Subfamily Coronavirinae
Measurement	alanine transaminase	131	414638	Alanine aminotransferase measurement
Measurement	partial pressure arterial oxygen to fraction inspired oxygen ratio measurement	131	4233883	Ratio of arterial oxygen tension to inspired oxygen fraction
Procedure	invasive mechanical ventilation	131	19025274	oxygen
Condition	symptomatic	130	4142947	Symptomatic
Drug	alanine	127	19052489	alanine
Condition	nursing	124	36717536	Nursing
Condition	cardiac	123	321042	Cardiac arrest
Measurement	inspired fraction of oxygen	123	4353936	Inspired oxygen concentration
Procedure	central african republic	122	407374	Central African Republic
Measurement	epidermal growth factor receptor	118	4336683	Epidermal growth factor-urogastrone receptor
Condition	allergic	117	139902	Allergic urticaria
Procedure	chemotherapy	112	4273629	Chemotherapy
Condition	diabetes	110	45879799	Diabetes
Condition	chronic obstructive airway disease	109	255573	Chronic obstructive lung disease
Condition	hepatitis b	109	4281232	Type B viral hepatitis
Procedure	chest x-ray	109	4163872	Plain chest X-ray
Condition	asthma	108	317009	Asthma
Condition	covid19	108	37311061	Disease caused by 2019-nCoV
Condition	sore throat	108	4226263	Pharyngitis
Measurement	hemoglobin	107	45889912	Hemoglobin
Condition	heart failure	106	316139	Heart failure
Condition	hypertension	106	316866	Hypertensive disorder
Drug	serum	101	4194767	Serum
Drug	azithromycin	100	1734104	azithromycin
Procedure	imaging	98	4180938	Imaging
Condition	covid-19 positive	97	37311061	Disease caused by 2019-nCoV
Drug	blood products	97	413266	Blood product
Condition	breast feeding	96	4188824	Breastfeeding
Condition	lactation	95	4306137	Lactate
Condition	birth	94	4216316	Birth
Condition	cardiovascular	94	45881078	Cardiovascular
Condition	contraindications	94	45882797	Contraindicated
Drug	tocilizumab	94	40171288	tocilizumab
Measurement	absolute neutrophil count	94	4148615	Neutrophil count
Condition	malignancy	93	4066212	Malignant
Measurement	platelet count	91	4267147	Platelet count
Procedure	intubated	91	4202832	Intubation
Measurement	human immunodeficiency virus	90	4078242	Human immunodeficiency virus
Measurement	creatinine clearance	89	2212296	Creatinine; clearance
Condition	asymptomatic	88	4309345	Asymptomatic
Condition	chronic kidney disease	87	46271022	Chronic kidney disease
Observation	alcohol	87	4203148	Alcohol
Condition	respiratory distress	86	4158346	Respiratory distress
Condition	myocardial infarction	85	4329847	Myocardial infarction
Condition	renal	85	45881081	Renal
Observation	stable	85	45879403	Stable
Condition	shock	84	201965	Shock
Drug	corticosteroids	83	21601607	Corticosteroids
Measurement	body mass index procedure	83	4245997	Body mass index
Procedure	intubation	83	4202832	Intubation
Drug	excipients	82	4236208	Pharmaceutical excipient
Measurement	body mass index	81	4245997	Body mass index
Condition	healthy	80	36308878	Healthy
Measurement	aspartate aminotransferase	80	4094657	Aspartate aminotransferase
Measurement	glomerular filtration rate	80	4213477	Glomerular filtration rate
Condition	covid-19 disease	79	37311061	Disease caused by 2019-nCoV
Measurement	weight	79	37111521	Weight
Condition	autoimmune	78	4182582	Autoimmune state
Condition	immunocompromised	78	4153516	Patient immunocompromised
Observation	death	78	4306655	Death
Observation	laboratory confirmed	77	45878027	Influenza (laboratory-confirmed)
Condition	chronic obstructive pulmonary disease	76	255573	Chronic obstructive lung disease
Condition	congestive heart failure	76	319835	Congestive heart failure
Condition	headache	76	378253	Headache
Measurement	temperature	76	45771331	Temperature
Procedure	physical examination	76	4240345	Physical examination
Condition	diarrhea	74	196523	Diarrhea
Measurement	negative pregnancy test	74	4094448	Pregnancy test negative
Measurement	platelets	74	4039428	Platelet
Observation	liver	74	35921199	Liver
Condition	breast-feeding	73	4188824	Breastfeeding
Condition	fatigue	73	4223659	Fatigue
Measurement	estimated glomerular filtration rate	72	4480642	Estimation of glomerular filtration rate
Condition	bleeding	71	4179955	Hemorrhage
Condition	hepatitis c	70	197494	Viral hepatitis C
Condition	stroke	70	381316	Cerebrovascular accident
Observation	life expectancy	70	3050013	Life expectancy [OASIS]
Condition	abstinence	69	45882909	Abstinence
Condition	covid-19 pneumonia	68	37310285	Pneumonia caused by 2019 novel coronavirus
Condition	cirrhosis	67	45878255	Cirrhosis
Condition	covid-19 diagnosis	67	37311061	Disease caused by 2019-nCoV
Condition	septic	67	196236	Septic shock
Condition	sars-cov2	66	45878035	SARS
Measurement	positive pregnancy test	66	409491	Pregnancy test positive
Measurement	total bilirubin	66	4230543	"Bilirubin, total measurement"
Condition	hiv infections	65	4013106	HIV positive
Condition	retinopathy	65	378416	Retinal disorder
Procedure	electrocardiogram	65	4163951	Electrocardiographic procedure
Condition	intolerance	64	4105297	Intolerance
Condition	porphyria	64	4264925	Porphyria cutanea tarda
Procedure	vaccines	64	4144375	Active immunization
Drug	prednisone	63	1551099	prednisone
Measurement	d-dimer	63	4322628	D-dimer assay
Condition	active tuberculosis	62	4141802	Active tuberculosis
Condition	comorbidities	62	46235351	Comorbid condition
Condition	diabetes mellitus	62	20182	Diabetes mellitus
Drug	investigational drug	62	35807195	Investigational drug
Condition	anaphylaxis	61	441202	Anaphylaxis
Condition	obesity	60	433736	Obesity
Condition	psoriasis	59	140168	Psoriasis
Condition	septic shock	59	196236	Septic shock
Condition	severe acute respiratory syndrome	59	320651	Severe acute respiratory syndrome
Measurement	pulse	59	4224504	Pulse
Condition	severe disease	58	1177324	Severe disease
Measurement	systolic blood pressure	58	4152194	Systolic blood pressure
Observation	survive	58	4048295	Survival time
Procedure	non-invasive ventilation	58	19025274	oxygen
Measurement	c-reactive protein	57	2212761	C-reactive protein
Procedure	transfusion	57	4182536	Transfusion
Condition	acute respiratory distress syndrome	56	4195694	Acute respiratory distress syndrome
Condition	child-bearing potential	56	4142985	Female of child bearing age
Condition	influenza	56	4266367	Influenza
Condition	symptoms of covid-19	56	37311061	Disease caused by 2019-nCoV
Procedure	injection	56	42538189	Inject
Procedure	method of contraception	56	4271686	Rhythm method of contraception
Measurement	alanine aminotransferase ( alt )	55	4041531	Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level abnormal
Measurement	ferritin	55	2212333	Ferritin
Condition	non-pregnant	54	4243056	Not pregnant
Procedure	infusion	54	35622675	Infuse
Condition	thrombocytopenia	53	43287	Thrombocytopenic disorder
Drug	colchicine	53	1101554	colchicine
Condition	tuberculosis	52	434557	Tuberculosis
Drug	amiodarone	51	1309944	amiodarone
Procedure	chest imaging	51	4211641	Chest imaging
Condition	allergies	50	43530807	Allergic disposition
Condition	cardiovascular disease	50	134057	Disorder of cardiovascular system
Condition	dementia	50	418221	Dementia
Condition	hepatic	50	19499	Inflammatory disease of liver
Condition	postmenopausal	50	195321	Postmenopausal bleeding
Measurement	diastolic blood pressure	50	415479	Diastolic blood pressure
Procedure	hemodialysis	50	412012	Hemodialysis
Condition	drug abuse	49	436954	Drug abuse
Condition	epilepsy	49	380378	Epilepsy
Condition	laboratory-confirmed sars-cov-2 infection	49	40218805	Testing for SARS-CoV-2 in CDC laboratory
Condition	severe liver disease	49	1177324	Severe disease
Procedure	computed tomography	49	4300757	Computerized axial tomography
Procedure	hormonal contraception	49	4027509	Contraception
Procedure	ventilation	49	45768197	Ventilator
Condition	childbearing age	48	42964	Risk identification: childbearing family
Condition	pulmonary embolism	48	440417	Pulmonary embolism
Drug	creatinine	48	19071968	creatinine
Drug	immunosuppression	48	4242843	Immunosuppression
Drug	vasopressors	48	19006871	argipressin
Measurement	positive end-expiratory pressure	48	4353713	Positive end expiratory pressure
Observation	kidney	48	4271678	Kidney structure
Procedure	immunosuppressive therapy	48	4314777	Immunosuppressive therapy
Condition	autoimmune disease	47	434621	Autoimmune disease
Condition	immunodeficiency	46	43374	Immunodeficiency disorder
Condition	liver disease	46	194984	Disease of liver
Condition	chronic liver disease	45	421254	Chronic liver disease
Drug	immunoglobulin	45	4008249	Immunoglobulin
Condition	unstable angina	44	315296	Preinfarction syndrome
Procedure	continuous positive airway pressure	44	4165535	Continuous positive airway pressure ventilation treatment
Procedure	immunization	44	4132855	Immunization
Measurement	interleukin-2/interleukin-6	43	43012761	interleukin-6
Measurement	tuberculosis	43	434557	Tuberculosis
Procedure	isolation	43	4222885	Isolation technique
Condition	sputum	42	4164116	Sputum
Condition	vomiting	42	441408	Vomiting
Drug	heparin	42	1367571	heparin
Measurement	heart rate	42	4239408	Heart rate
Measurement	reverse transcriptase polymerase chain reaction	42	40484652	Analysis using reverse transcriptase PCR
Procedure	hysterectomy	42	4127886	Hysterectomy
Condition	myalgia	41	442752	Muscle pain
Condition	uncontrolled hypertension	41	4289933	Malignant hypertension
Drug	warfarin	41	1310149	warfarin
Procedure	radiation	41	4220084	Radiation
Condition	allergic reaction	40	40589905	Allergic reaction
Condition	prolonged qt interval	40	4008859	Prolonged QT interval
Condition	recruitment	40	13983	Recruitment
Drug	steroids	40	4024511	Steroid
Procedure	invasive ventilation	40	19025274	oxygen
Condition	heart	39	36308337	Heart
Condition	neutropenia	39	320073	Neutropenia
Condition	sepsis	39	132797	Sepsis
Measurement	bilirubin	39	45890528	Bilirubin
Procedure	oxygen therapy	39	423913	Oxygen therapy
Procedure	radiotherapy	39	4029715	Radiation oncology AND/OR radiotherapy
Condition	g6pd deficiency	38	4032354	Adult G6PD deficiency of leukocytes syndrome
Drug	favipiravir	38	32765	Favipiravir
Procedure	vasopressor	38	19006871	argipressin
Condition	allergic reactions	37	40589905	Allergic reaction
Condition	infections	37	43225	Disorder due to infection
Condition	liver failure	37	4245975	Hepatic failure
Condition	long qt syndrome	37	314664	Long QT syndrome
Drug	biologic	37	4029802	Biologic
Condition	alcohol abuse	36	433753	Alcohol abuse
Condition	amenorrhea	36	4438	Amenorrhea
Drug	immunosuppressants	36	4242843	Immunosuppression
Drug	immunotherapy	36	4295112	Immunological therapy
Measurement	oxygen saturation:mfr:pt:blda:qn	36	40762508	Oxygen saturation in Arterial blood by Pulse oximetry --resting
Condition	chronic lung disease	35	4186898	Chronic lung disease
Condition	coronary artery disease	35	317576	Coronary arteriosclerosis
Condition	hypoxemia	35	43739	Hypoxemia
Condition	opacities	35	36309507	Opacity
Condition	positive for covid-19	35	37311061	Disease caused by 2019-nCoV
Condition	sexually active	35	43021229	Finding relating to sexual behavior or practice
Condition	viral pneumonia	35	261326	Viral pneumonia
Drug	anticoagulant	35	358034	Anticoagulation
Condition	post-menopausal	34	4175534	Post-hysterectomy menopause
Drug	aspartate	34	4325686	Aspartate
Drug	digoxin	34	1326303	digoxin
Measurement	androgen binding protein	34	4126465	Binding protein
Observation	smoking	34	4274663	Smoke
Condition	active malignancy	33	1177186	Active malignant condition
Condition	coagulopathy	33	35807484	Coagulopathy medication
Condition	cognitive impairment	33	443432	Impaired cognition
Condition	difficulty breathing	33	4041664	Difficulty breathing
Condition	hemodynamic instability	33	36308395	hemodynamic instability
Condition	infiltrates	33	4264333	Infiltration
Condition	liver cirrhosis	33	4064161	Cirrhosis of liver
Condition	sars-cov-2 virus	33	703439	Taking of swab for SARS-CoV-2
Condition	sars-cov2 infection	33	45878035	SARS
Condition	severe pneumonia	33	4236139	Pneumonia severity index
Drug	cyclosporine	33	19010482	cyclosporine
Measurement	body temperature	33	4302666	Body temperature
Measurement	pao2/fio2 ratio	33	4353936	Inspired oxygen concentration
Measurement	pregnancy test	33	4250175	Pregnancy detection examination
Measurement	qt interval feature (observable entity)	33	4216826	QT interval feature
Measurement	respiratory frequency	33	4313591	Respiratory rate
Procedure	mechanically ventilated	33	19025274	oxygen
Procedure	oxygen supplementation	33	36308581	Supplemental oxygen
Procedure	solid organ transplant	33	4208341	Solid organ transplant
Procedure	vasectomy	33	4330583	Vasectomy
Condition	active cancer	32	37016731	Active surveillance of prostate cancer
Condition	acute illness	32	21497921	Acute illness
Condition	malaise	32	427224	Malaise
Condition	moribund	32	4154766	Moribund
Condition	rheumatoid arthritis	32	80809	Rheumatoid arthritis
Drug	anticoagulation	32	358034	Anticoagulation
Drug	azathioprine	32	19014878	azathioprine
Drug	immunomodulators	32	4253598	Immunomodulator
Drug	investigational product	32	429709	Evaluation procedure
Procedure	peritoneal dialysis	32	4324124	Peritoneal dialysis
Condition	autoimmune diseases	31	434621	Autoimmune disease
Condition	lung infiltrates	31	260936	Infiltrative lung tuberculosis
Condition	pulmonary infiltrates	31	4249557	Radiologic infiltrate of lung
Condition	renal failure	31	192359	Renal failure syndrome
Drug	anakinra	31	1114375	anakinra
Drug	immunoglobulins	31	4008249	Immunoglobulin
Measurement	left ventricular ejection fraction	31	4108582	Left ventricular ejection fraction
Procedure	oral medication	31	4302259	Medication administration: oral
Condition	active bleeding	30	4179955	Hemorrhage
Condition	hypoxia	30	4306572	Hypoxia
Condition	muscle pain	30	442752	Muscle pain
Drug	experimental treatment	30	4049795	Experimental implant
Drug	lopinavir/ritonavir	30	173817	lopinavir
Drug	methotrexate	30	1305058	methotrexate
Drug	procainamide	30	1351461	procainamide
Measurement	blood pressure	30	4326744	Blood pressure
Measurement	lactate dehydrogenase	30	4121879	Lactate dehydrogenase
Procedure	contraceptive method	30	42537546	Planned contraception method
Procedure	major surgery	30	42537894	Major surgery care management
Condition	active infection	29	43225	Disorder due to infection
Condition	lymphoma	29	45881968	Lymphoma
Condition	radiographic infiltrates	29	4106628	Radiographic
Condition	sensitivity	29	4148702	Sensitivity
Drug	ritonavir	29	1748921	ritonavir
Drug	systemic corticosteroids	29	723814	SYSTEMIC CORTICOSTEROIDS
Measurement	alanine aminotransferase to aspartate aminotransferase ratio measurement	29	37392316	Aspartate aminotransferase/alanine aminotransferase ratio
Measurement	body weight	29	4099154	Body weight
Measurement	quart - us	29	9394	quart (US)
Procedure	bilateral oophorectomy	29	429799	Bilateral oophorectomy
