conditionOMOPID,conditionOMOPName
37311061,Disease caused by 2019-nCoV
4299535,Pregnant
703439,Taking of swab for SARS-CoV-2
437663,Fever
100357,Respiratory
4185135,Breastfeeding
43021965,Hypersensitivity process
43225,Disorder due to infection
43530807,Allergic disposition
254761,Cough
706376,HIV
255848,Pneumonia
40757139,Counseling for women of childbearing potential with epilepsy (EPI)
756039,Respiratory infection due to COVID-19
45882797,Contraindicated
443392,Malignant neoplastic disease
4306137,Lactate
4195694,Acute respiratory distress syndrome
4256228,Respiratory failure
312437,Dyspnea
43529712,Personal Medical History
44783749,Subfamily Coronavirinae
4142947,Symptomatic
36717536,Nursing
321042,Cardiac arrest
139902,Allergic urticaria
45879799,Diabetes
255573,Chronic obstructive lung disease
4281232,Type B viral hepatitis
317009,Asthma
4226263,Pharyngitis
316139,Heart failure
316866,Hypertensive disorder
4188824,Breastfeeding
4216316,Birth
45881078,Cardiovascular
4066212,Malignant
4309345,Asymptomatic
46271022,Chronic kidney disease
4158346,Respiratory distress
4329847,Myocardial infarction
45881081,Renal
201965,Shock
36308878,Healthy
4182582,Autoimmune state
4153516,Patient immunocompromised
319835,Congestive heart failure
378253,Headache
196523,Diarrhea
4223659,Fatigue
4179955,Hemorrhage
197494,Viral hepatitis C
381316,Cerebrovascular accident
45882909,Abstinence
37310285,Pneumonia caused by 2019 novel coronavirus
45878255,Cirrhosis
196236,Septic shock
45878035,SARS
4013106,HIV positive
378416,Retinal disorder
4105297,Intolerance
4264925,Porphyria cutanea tarda
4141802,Active tuberculosis
46235351,Comorbid condition
20182,Diabetes mellitus
441202,Anaphylaxis
433736,Obesity
140168,Psoriasis
320651,Severe acute respiratory syndrome
1177324,Severe disease
4142985,Female of child bearing age
4266367,Influenza
4243056,Not pregnant
43287,Thrombocytopenic disorder
434557,Tuberculosis
134057,Disorder of cardiovascular system
418221,Dementia
19499,Inflammatory disease of liver
195321,Postmenopausal bleeding
436954,Drug abuse
380378,Epilepsy
40218805,Testing for SARS-CoV-2 in CDC laboratory
42964,Risk identification: childbearing family
440417,Pulmonary embolism
434621,Autoimmune disease
43374,Immunodeficiency disorder
194984,Disease of liver
421254,Chronic liver disease
315296,Preinfarction syndrome
4164116,Sputum
441408,Vomiting
442752,Muscle pain
4289933,Malignant hypertension
40589905,Allergic reaction
4008859,Prolonged QT interval
13983,Recruitment
36308337,Heart
320073,Neutropenia
132797,Sepsis
4032354,Adult G6PD deficiency of leukocytes syndrome
4245975,Hepatic failure
314664,Long QT syndrome
433753,Alcohol abuse
4438,Amenorrhea
4186898,Chronic lung disease
317576,Coronary arteriosclerosis
43739,Hypoxemia
36309507,Opacity
43021229,Finding relating to sexual behavior or practice
261326,Viral pneumonia
4175534,Post-hysterectomy menopause
1177186,Active malignant condition
35807484,Coagulopathy medication
443432,Impaired cognition
4041664,Difficulty breathing
36308395,hemodynamic instability
4264333,Infiltration
4064161,Cirrhosis of liver
4236139,Pneumonia severity index
37016731,Active surveillance of prostate cancer
21497921,Acute illness
427224,Malaise
4154766,Moribund
80809,Rheumatoid arthritis
260936,Infiltrative lung tuberculosis
4249557,Radiologic infiltrate of lung
192359,Renal failure syndrome
4306572,Hypoxia
45881968,Lymphoma
4106628,Radiographic
4148702,Sensitivity
4026125,Chronic active hepatitis
257315,Bacterial pneumonia
4038519,Dry cough
4074815,Inflammatory bowel disease
4322024,Pulmonary hypertension
32207,Trauma
4139144,Addiction
4185711,Loss of sense of smell
432795,Traumatic AND/OR non-traumatic injury
4212484,Multiple organ failure
140641,Verruca vulgaris
312327,Acute myocardial infarction
432791,Angioedema
76685,Myasthenia gravis
31967,Nausea
253796,Pneumothorax
436073,Psychotic disorder
44784217,Cardiac arrhythmia
4128935,Bipolar
198185,Chronic renal failure
439392,Primary malignant neoplasm
4170143,Respiratory tract infection
319049,Acute respiratory failure
432545,Bacterial infectious disease
443783,Chronic disease
433701,Mycosis
138443,Other: Other Conditions
317376,Tachypnea
45880757,Tumor
321319,Cardiomyopathy
441267,Cystic fibrosis
35917477,Other infection
377091,Seizure
457659,Severe cognitive impairment
321588,Heart disease
4253634,Contraindicated
317002,Low blood pressure
4239314,Primary immune deficiency disorder
198124,Kidney disease
4267414,AIDS
4214703,Mental illness
320136,Disorder of respiratory system
436033,Syphilis
439777,Anemia
313217,Atrial fibrillation
4169095,Bradycardia
4164633,Clouded consciousness
4133004,Deep venous thrombosis
261325,Pulmonary emphysema
432602,Fungal meningitis
439847,Intracranial hemorrhage
258369,Primary malignant neoplasm of lung
4030518,Renal impairment
1399,Urticaria
421514,Acute coronary syndrome
436665,Bipolar disorder
432585,Blood coagulation disorder
315831,Chronic pulmonary heart disease
314971,Chronic respiratory failure
441541,Lymphocytopenia
4331909,Non-invasive
46273014,Spinal muscular atrophy with respiratory distress type 1
441542,Anxiety
405062,Deficiency of glucose-6-phosphate dehydrogenase
4069091,Heterosexual
4119786,Interstitial lung disease
4185932,Ischemic heart disease
4289517,Loss of taste
4059477,Menopause
4037484,Symptom mild
4192174,Illness
4178303,Plasma
4197819,Fibrosis of lung
4178614,Serious
4160039,Co-morbid conditions
411683,Congenital
4003404,Inactive tuberculosis
435783,Schizophrenia
319052,Increased sputum production
4279309,Substance abuse
373503,Transient cerebral ischemia
4112341,Acute respiratory infections
4319884,Consolidation
372887,Disorder of brain
416477,Guillain-Barré syndrome
4163333,Immunoglobulin A deficiency
40483553,Life threatening severity
4224178,Menstrual period late
1177254,Moderate disease
374919,Multiple sclerosis
314383,Myocarditis
4195085,Nasal congestion
4029498,Seizure disorder
3668485,Cardiac volume overload
200219,Abdominal pain
200528,Ascites
374032,Critical illness polyneuropathy
440383,Depressive disorder
4138253,Malabsorption syndrome
4296023,Failure
37047248,Cancer pathology panel | Skin melanoma | Pathology panels
19268,Portal hypertension
44807494,Blood product transfusion adverse reaction detected
4276172,Nasal discharge
4050792,No FH: Cardiovascular disease
257628,Systemic lupus erythematosus
440029,Viral disease
761083,Acute injury of kidney
256449,Bronchiectasis
7767,Chest pain
193782,End-stage renal disease
409974,Gilbert's syndrome
440674,Gout
4166225,Inability to cope
4190559,Infectious diseases
31751,Leukemia
435224,Leukopenia
45884896,Lung Disease
42073776,Newborn
38127,Parkinson's disease
4263947,Perforation
32677,Disease Progression
418763,Finding with explicit context
4063381,Chronic disease of respiratory system
141253,Disorder of thyroid gland
45884515,Breast cancer
200763,Chronic hepatitis
42870418,Date access infection confirmed [ESRD]
4047705,General health good
4217246,Hemorrhagic stroke monitoring
4119715,Inflammation
4310996,Ischemic stroke
4012972,Laboratory test result abnormal
40599742,Lesion
2614925,"Cannula, nasal"
706513,Pulmonary disease
36307567,Remission
443612,Chronic kidney disease stage 4
44037,Nutritional marasmus
40770395,Has the patient had any significant medical conditions NEMSIS
4130722,Thrombosis
37018474,Unable to take medication
4103295,Ventricular tachycardia
44012529,Bacterials
321318,Angina pectoris
4305599,Renal arterial hypertension
41970933,Berlin
414719,Gastrointestinal symptom
4114526,Gestational
4049014,Albinism
433749,Heparin-induced thrombocytopenia
3170072,Hypersensitivity to odor
4125554,Impaired
42071481,Lupus
1177314,Mild disease
4321705,Murine pneumonia virus
36308213,Psychiatric disorder
4017188,Asthma severity
44809027,Severe hypertension
22281,Sickle cell-hemoglobin SS disease
4273391,Suicidal thoughts
4135823,Torsades de pointes
81893,Ulcerative colitis
4185572,Ventricular arrhythmia
37311065,2019-nCoV
4253733,Solid
4283078,Chronic active viral hepatitis
4203148,Alcohol
45768671,Asplenia
437113,Asthenia
45884656,Continuous chronic illness
757683,Transfuse convalescent plasma [Volume]
4193646,Critic
4141224,Diverticulitis
4147164,Malignant tumor of lymphoid hemopoietic and related tissue
45876878,Hemophilia
431447,Ebolavirus
4154498,Hypoglycemic syndrome
432586,Mental disorder
36310428,Major psychiatric illness
42035945,Ards
703443,COVID-19 severity scale
4149321,Severe depression
4153899,Severities
4019513,Brittle diabetes mellitus
437894,Ventricular fibrillation
433435,Carcinoma in situ
4128228,Chronic drug-induced renal disease
4311437,Decompensated chronic heart failure
261687,Hemoptysis
439727,Human immunodeficiency virus infection
4576375,Idiopathic pulmonary fibrosis
4273378,Interstitial pneumonia
4208223,Disorder of macula of retina
4478969,Waterlow major surgery/trauma score
4138837,Pericarditis
4332151,Platelet disorder
254061,Pleural effusion
4078193,Recurrence
318459,Respiratory insufficiency
313878,Respiratory symptom
4161455,Significant coronary bypass graft disease
314754,Wheezing
4210327,Absolute
42530823,Consider alternative medication
4332246,Aneurysm
444031,Chronic heart failure
4242843,Immunosuppression
312723,Congenital heart disease
72348,SARS-CoV-2 (COVID19) Ab [Interpretation] in Serum or Plasma
45878297,Critical congenital heart disease
443727,Diabetic ketoacidosis
433463,Effusion
192671,Gastrointestinal hemorrhage
4185573,Latent
4311763,Secondary malignant neoplasm of cerebrum
4329041,Pain
253506,Pneumonitis
4134596,Chronic mental disorder
4183351,"Pleura, pulmonary vascular surgical margin, involved by tumor"
4171105,Newborn renal dysfunction
438688,Sarcoidosis
4588336,Diabetes Type 1
45877606,Diabetes Type 2
4137275,Vasculitis
4327889,Thromboembolism of vein
44805835,TB (tuberculosis) lymphocyte activation study
374925,Acute infective polyneuritis
19732,Acute renal failure syndrome
3668484,Acute stroke
4105886,Adverse reaction
4193788,Anaphylactic transfusion reaction
4124671,Stage 2 pulmonary sarcoidosis
381591,Cerebrovascular disease
43449,Chill
4340521,Chronic diarrhea
4058397,Claustrophobia
201606,Crohn's disease
438555,Cyanosis
4052648,Disability
436093,Disseminated intravascular coagulation
4029488,Hepatic encephalopathy
437833,Hypokalemia
140673,Hypothyroidism
45880762,Macular degeneration
434005,Morbid obesity
4169249,Bannwarth syndrome
1379374,Non-Human Use Solid Substance
319041,Orthostatic hypotension
3045632,Psychiatric or mood diseases or conditions Set
4170148,FH: Serious disease
419264,Pancreatitis
45884513,Prostate cancer
4109529,Nutritionally compromised
403117,Severe systemic illness tissue wasting
4297215,Significant
4181583,Upper respiratory infection
4027381,Bacterial infection of central nervous system
443883,Acute disease
419165,Acute respiratory distress
45884383,Adverse event
4098292,Antiphospholipid syndrome
4298444,Breast structure
256451,Bronchitis
412691,Chronic gingival condition
4263109,Congenital immunodeficiency disease
4053677,Expiratory crackles
373995,Delirium
415316,Influenza-like symptoms
435511,Hypercalcemia
37311319,Hypovolemia
37395564,Hypoxemic respiratory failure
137977,Jaundice
372448,Loss of consciousness
36308501,Major bleeding episode that required a blood transfusion
43021512,Infectious disease medication review
4192658,Neurology
4308211,Neutropenic typhlitis
45882326,Other medical condition
45879311,Pelvic fracture
4120014,Polymerase chain reaction
4112232,Prolonged
40282772,Renal function
45878594,Resistant
4164873,Allergy to penicillinase-sensitive penicillin
40233292,acetaminophen 500 MG / diphenhydramine hydrochloride 12.5 MG Oral Tablet
4209097,Severe chronic obstructive pulmonary disease
764982,Severe left ventricular systolic dysfunction
313459,Sleep apnea
4298794,Smoker
4235863,Spinal cord injury
4168335,Wound
433939,Abuse
46271075,Acute hypoxemic respiratory failure
4199961,Acute lung injury
199074,Acute pancreatitis
440689,Agranulocytosis
436222,Altered mental status
378419,Alzheimer's disease
426422,Antithrombin III deficiency
4065287,EKG: supraventricular arrhythmia
133834,Atopic dermatitis
200762,Autoimmune hepatitis
4112752,Basal cell carcinoma of skin
3630973,Ground glass
4110884,Astrocytoma of brain
424375,Carcinoma in situ of cervical esophagus
4286638,Childhood
255841,Chronic bronchitis
21601607,Corticosteroids
363054,Physician documented GDR as clinically contraindicated [CMS Assessment]
78771,Labyrinthine dysfunction
19070922,cola extract
4081706,Sensory nerve conduction block
40479232,Congenital long QT syndrome
435849,Parietoalveolar pneumopathy
37396401,Decompensated cirrhosis of liver
3169641,Deep coma due to concussion
435796,Dehydration
133835,Eczema
201826,Type 2 diabetes mellitus
45769564,End stage liver disease
4171925,Gamma-glutamyl transferase raised
45879891,Gastrointestinal Disease
4202064,Gastrointestinal perforation
45880367,Head trauma
4120445,Hemopoietic stem cell transplant
36304118,FDA package insert Hepatic Impairment subsection
4311387,Infertile
408104,Facultative pulmonary hypertension with shunt at atrial level
415228,Major depressive disorder
4310822,Mood
437233,Multiple myeloma
137275,Disorder of muscle
42031803,Tågaborg N
4334403,Nasal obstruction
439676,Coronavirus infection
37016927,Pneumonia caused by Human coronavirus
43530714,Sensory disorder of smell and/or taste
4106639,Non-compliant
4332501,Management of noninvasive mechanical ventilation
4065875,Normal blood pressure
4027663,Peptic ulcer
317309,Peripheral arterial occlusive disease
2149843,Donation
4049147,Protein S deficiency disease
4078925,Pulmonary edema
256622,Pulmonary disease due to Mycobacteria
378414,Retinal detachment
134442,Systemic sclerosis
433171,Selective immunoglobulin A deficiency
45877605,COPD
36308192,"Other severe neurological injury, disease, or dysfunction"
3188131,Severe distress
4240565,Solid tumor configuration
431715,Sudden cardiac death
44407,Tachycardia
1177387,Thromboembolism
4078213,Uncontrolled
4291005,Viral hepatitis
4086746,Feeling agitated
4189343,Aortic valve stenosis
4075418,Arteriovenous malformation
4061929,Blood disorder monitoring
35940899,Brain
256717,Bronchospasm
423232,Cardiopulmonary resuscitation
375545,Cataract
141456,Chilblains
4028244,Chronic disease of cardiovascular system
4134586,Chronic heart disease
762815,Taking medication for chronic disease
4079975,Congenital malformation
435244,Developmental disorder
4174977,Retinopathy due to diabetes mellitus
31317,Dysphagia
31821,Disorder of endocrine system
24966,Esophageal varices
431058,"Tuberculosis, extrapulmonary"
429016,Factor VII deficiency
193445,Familial Mediterranean fever
444413,Febrile convulsion
4080995,Fibromyositis
434613,Generalized anxiety disorder
377889,Hearing loss
4093842,Tendency to bleed
46273058,High risk of bleeding
4099958,Hospitalism
4105765,Hypercapnia
4029305,Hypercholesterolemia
37061722,Hypersensitivity pneumonitis panel | Serum | Allergy Panels
4120314,Hypertriglyceridemia
4098604,Hypomagnesemia
37397362,Bilateral lung opacities on chest X-ray
3184007,Risk for intracranial bleeding
4154803,Raised intracranial pressure
4274964,Iritis
4323898,Left ventricular cardiac dysfunction
35625763,NGLY1-congenital disorder of deglycosylation
419452,Liver function
4170893,Mental handicap
36310598,Metastatic cancer
45763594,Middle East respiratory syndrome
443207,Single organ dysfunction
429,Mumps
4301699,Neuropathy
4223299,New York Heart Association Classification
4208812,Parasitic eye infection
321052,Peripheral vascular disease
4051568,Family history of mental disorder
36716227,Psychology
4103381,Retinitis pigmentosa
35928795,"Positive, Reverse Transcription Polymerase Chain Reaction (RT-PCR) test"
4286201,Schizoaffective disorder
36308301,Objective evidence of severe cardiovascular disease
765653,Severe dementia
4232893,Infection status
3701886,Severe obesity
36308802,Side effects
41962773,Signes
254443,Sjögren's syndrome
37056495,Breaths.supported+spontaneous
45766058,Sterilization procedure
4251306,Stress
4004672,Psychoactive substance use disorder
45320943,SUCTION TUBE ATTACH DEVICE
3731106,Suspected disease caused by 2019-nCoV
756031,Bronchitis due to COVID-19
13536,Syncope
4116982,Terminal illness
320744,Complete atrioventricular block
201254,Type 1 diabetes mellitus
45877098,Bleeding uncontrolled
4229126,Intercurrent disease
36310054,Vascular aneurysms
402205,Academic underachievement
443943,Herpes zoster
40761356,Participant had active liver disease
40757662,Active disease diagnosis
44231,Acute heart failure
36304812,TOAST Classification of subtypes of acute ischemic stroke
312653,Acute myocarditis
