covidtrialID,conditionOMOPID
NCT04458948,4010833
NCT04458948,43530807
NCT04458948,45882797
NCT04458948,378416
NCT04458948,4008859
NCT04458948,46271022
NCT04458948,405062
NCT04458948,4299535
NCT04458948,36308802
NCT04458948,43225
NCT04458948,4188824
NCT04458948,443432
NCT04338100,100357
NCT04397835,4299535
NCT04397835,4185135
NCT04470544,4299535
NCT04470544,4185135
NCT04470544,43021965
NCT04425031,44804574
NCT04425031,442562
NCT04425031,4316335
NCT04425031,432882
NCT04425031,4073369
NCT04425031,4087611
NCT04425031,22281
NCT04418193,703439
NCT04418193,4212484
NCT04418193,4210327
NCT04418193,43021965
NCT04418193,3170072
NCT04418193,4245975
NCT04418193,405062
NCT04418193,4096912
NCT04418193,4264925
NCT04418193,4008859
NCT04418193,46271813
NCT04418193,193782
NCT04418193,4299535
NCT04418193,4306137
NCT04418193,261326
NCT04411576,703439
NCT04374045,38127
NCT04374045,201254
NCT04374045,201826
NCT04374045,4218106
NCT04374045,313217
NCT04374045,375415
NCT04374045,4192658
NCT04374045,4170148
NCT04374045,4299535
NCT04447469,37311061
NCT04447469,37311061
NCT04447469,416341
NCT04447469,21603907
NCT04447469,37311061
NCT04456062,46271045
NCT04346017,132797
NCT04346017,46235351
NCT04346017,100357
NCT04393974,703439
NCT04326725,756039
NCT04326725,35806126
NCT04326725,45884784
NCT04326725,4212484
NCT04326725,139902
NCT04326725,36716893
NCT04326725,4059284
NCT04326725,44784217
NCT04326725,4134586
NCT04326725,4132094
NCT04326725,4214703
NCT04351581,44358
NCT04351581,316139
NCT04351581,443612
NCT04351581,44809027
NCT04351581,317002
NCT04351581,4299535
NCT04351581,4185135
NCT04351581,4253634
NCT04351581,1177324
NCT04351581,43021965
NCT04351581,40589905
NCT04351581,432791
NCT04351581,432791
NCT04359667,40589905
NCT04359667,4310717
NCT04359667,44805835
NCT04359667,140641
NCT04359667,35917477
NCT04359667,37311061
NCT04359667,4299535
NCT04359667,4185135
NCT04359667,4178614
NCT04424849,4186898
NCT04424849,2720255
NCT04431180,440985
NCT04438863,45882797
NCT04438863,261687
NCT04438863,4141802
NCT04438863,13536
NCT04438863,36310651
NCT04438863,312437
NCT04438863,255848
NCT04438863,4195694
NCT04438863,4212484
NCT04384250,316866
NCT04384250,46271022
NCT04384250,706376
NCT04384250,434005
NCT04384250,4066212
NCT04410484,4202486
NCT04386044,4190366
NCT04386044,4182582
NCT04386044,434621
NCT04386044,703439
NCT04348240,37311061
NCT04348240,37311061
NCT04348240,37311061
NCT04451174,4299535
NCT04451174,314971
NCT04451174,46271813
NCT04451174,46271022
NCT04451174,4242843
NCT04360811,4311843
NCT04345315,4087743
NCT04345315,37311061
NCT04345315,437663
NCT04345315,254761
NCT04345315,312437
NCT04345315,43225
NCT04367350,137275
NCT04367350,4301699
NCT04409197,4162723
NCT04409197,4299535
NCT04409197,4043372
NCT04368676,440925
NCT04368676,4128935
NCT04368676,436665
NCT04368676,37079246
NCT04368676,435783
NCT04368676,4286201
NCT04368676,4299535
NCT04397796,43021965
NCT04397796,36676901
NCT04397796,4299535
NCT04397796,36717536
NCT04397796,4142985
NCT04397796,4133224
NCT04397796,4104537
NCT04397796,4142875
NCT04397796,316139
NCT04471831,381316
NCT04363749,100357
NCT04363749,254761
NCT04363749,312437
NCT04363749,314971
NCT04363749,317009
NCT04363749,255573
NCT04363749,4299535
NCT04363749,45882797
NCT04470609,45882797
NCT04470609,43530807
NCT04470609,316866
NCT04470609,45879799
NCT04470609,317009
NCT04470609,443883
NCT04470609,437663
NCT04470609,4181583
NCT04470609,4093842
NCT04470609,78771
NCT04470609,4130722
NCT04470609,432585
NCT04470609,457714
NCT04470609,42538084
NCT04470609,45882967
NCT04470609,45880778
NCT04470609,706376
NCT04470609,4281232
NCT04470609,4216316
NCT04470609,436954
NCT04470609,703439
NCT04470609,320651
NCT04470609,45763594
NCT04470609,439676
NCT04443140,37311061
NCT04443140,4299535
NCT04468646,706376
NCT04468646,4281232
NCT04468646,197494
NCT04468646,4299535
NCT04361552,4299535
NCT04361552,4306137
NCT04361552,43021965
NCT04361552,4078213
NCT04361552,433701
NCT04361552,4331364
NCT04386083,37311061
NCT04386083,37311061
NCT04386083,32207
NCT04420260,4299535
NCT04420260,45654973
NCT04420260,43021965
NCT04420260,320136
