covidtrialID,conditionOMOPID
NCT04458948,4175297
NCT04458948,4299535
NCT04458948,4299535
NCT04458948,443432
NCT04354857,37311061
NCT04354857,437663
NCT04354857,254761
NCT04354857,4223659
NCT04354857,312437
NCT04354857,196523
NCT04354857,200219
NCT04354857,7767
NCT04354857,4226263
NCT04354857,4185711
NCT04338100,37311061
NCT04470544,703439
NCT04470544,703439
NCT04470544,100357
NCT04425031,37311065
NCT04425031,43225
NCT04425031,37311061
NCT04418193,43225
NCT04418193,37311061
NCT04418193,703439
NCT04374045,703439
NCT04447469,703439
NCT04447469,4236311
NCT04447469,437663
NCT04447469,4115103
NCT04447469,4321705
NCT04456062,13983
NCT04463628,441267
NCT04346017,703439
NCT04346017,100357
NCT04346017,4331909
NCT04393974,4066212
NCT04393974,703439
NCT04351581,37311061
NCT04359667,37310285
NCT04359667,4195694
NCT04359667,4249557
NCT04359667,703439
NCT04359667,100357
NCT04359667,43739
NCT04359667,2614925
NCT04359667,4139525
NCT04424849,37311061
NCT04383899,37311061
NCT04403035,37311061
NCT04431180,13983
NCT04438863,40657421
NCT04438863,20182
NCT04438863,316866
NCT04438863,4156433
NCT04438863,706376
NCT04318301,37311061
NCT04318301,37310285
NCT04384250,703443
NCT04451902,37311061
NCT04451902,756039
NCT04451902,4309345
NCT04451902,440029
NCT04386044,37311061
NCT04348240,37311061
NCT04348240,254761
NCT04348240,312437
NCT04348240,313878
NCT04451174,37311061
NCT04451174,2614925
NCT04360811,4299535
NCT04360811,4299535
NCT04345315,4309345
NCT04345315,36308878
NCT04345315,37311061
NCT04353609,321307
NCT04353609,43287
NCT04353609,4031164
NCT04353609,703439
NCT04353609,37311061
NCT04367350,320651
NCT04367350,44783749
NCT04367350,703439
NCT04367350,43225
NCT04368676,37311061
NCT04368676,42593047
NCT04368676,4006312
NCT04383730,37311061
NCT04383730,4162382
NCT04314232,45878035
NCT04377763,37311061
NCT04377763,440029
NCT04377763,100357
NCT04397796,37311061
NCT04397796,4195694
NCT04397796,4195694
NCT04397796,36309507
NCT04397796,433595
NCT04397796,4256228
NCT04397796,4125554
NCT04397796,43739
NCT04397796,2212762
NCT04397796,4142985
NCT04397796,4577201
NCT04397796,4061684
NCT04397796,45882909
NCT04471831,381316
NCT04471831,37311061
NCT04471831,381316
NCT04363749,37311061
NCT04363749,36308878
NCT04363749,4222303
NCT04363749,13983
NCT04363749,4298794
NCT04470609,45877789
NCT04470609,36308878
NCT04443140,37311061
NCT04443140,4336131
NCT04443140,4303401
NCT04363008,37311061
NCT04352764,44784217
NCT04352764,44784217
NCT04352764,321042
NCT04352764,4147094
NCT04468646,37311061
NCT04468646,1177324
NCT04468646,4256228
NCT04468646,201965
NCT04468646,4212484
NCT04361552,703439
NCT04361552,255573
NCT04361552,255573
NCT04361552,45879799
NCT04361552,316866
NCT04361552,317576
NCT04361552,381316
NCT04361552,4128228
NCT04361552,443392
NCT04433260,37311061
NCT04401254,37311061
NCT04386083,4164116
NCT04386083,40484652
NCT04386083,37311061
NCT04386083,37311061
NCT04386083,100357
NCT04420260,37311061
NCT04379310,37311061
NCT04379310,37310285
NCT04425382,43225
NCT04425382,255848
NCT04425382,37311061
NCT04425382,37310285
NCT04386070,4309345
NCT04386070,37311061
NCT04343781,37311061
NCT04343781,703439
NCT04435587,4309345
NCT04435587,313878
NCT04435587,4320791
NCT04357834,37311061
NCT04357834,703439
NCT04405934,37017073
NCT04405934,37311061
NCT04405934,756039
NCT04405934,756039
NCT04405934,43225
NCT04391920,37311061
NCT04391920,4256228
NCT04391920,4077693
NCT04391920,4080723
NCT04407273,37311061
NCT04341168,100357
NCT04341168,43225
NCT04341168,703439
NCT04341168,37311061
NCT04450017,37311061
NCT04470583,45889021
NCT04470583,37311061
NCT04470583,756039
NCT04340466,703439
NCT04416100,42870418
NCT04327505,703439
NCT04327505,4086507
NCT04327505,316866
NCT04327505,45881078
NCT04327505,134057
NCT04327505,45879799
NCT04327505,44808385
NCT04327505,41939861
NCT04327505,724189
NCT04438967,36308878
NCT04438967,43021414
NCT04438967,435244
NCT04449783,21494723
NCT04449783,443392
NCT04290780,36717536
NCT04290780,132797
NCT04290780,437663
