Title,Acronym,Status,Study Results,Phases,Funded Bys,URL,trial_id,outcome,study_type,study_design
Duvelisib to Combat COVID-19,nan,not yet recruiting,No Results Available,phase 2,Other|Industry,https://ClinicalTrials.gov/show/NCT04372602,NCT04372602,overall survival|length of hospital stay|length of icu stay|duration of ventilator use|duration of vasopressors use|duration on renal replacement therapy|viral kinetics as measured by virologic failure|number of adverse events as measured by ctcae v. 5.0,interventional,"allocation: randomized|intervention model: single group assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
Observational Cohort of COVID-19 Patients at Raymond-Poincare,COVID-RPC,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04364698,NCT04364698,"clinical, biological and radiological characteristics|patients' journey description|treatments effects",observational,observational model: cohort|time perspective: prospective
Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial,DART,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04482621,NCT04482621,change in clinical state as assessed by a 6-point ordinal scale|safety as assessed by adverse events|change in oxygenation index|change in fraction of inspired oxygen|time (days) to clinical improvement|overall survival|length of stay in hospital|ventilator free days|time to polymerase chain reaction (pcr) negativity|percentage of patients with national early warning score 2 of 3 or more,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
COVID-19 Surveillance Based on Smart Wearable Device,COVID-19SWD,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04459637,NCT04459637,"deterioration of the condition|mortality|the information analysis degree, the proportion of signal loss, the proportion of wrong signal,",observational,observational model: cohort|time perspective: prospective
A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,nan,recruiting,No Results Available,phase 2,Other|NIH,https://ClinicalTrials.gov/show/NCT04425538,NCT04425538,time to improvement in oxygenation|28-day mortality|assessment of cytokine and inflammatory profile at baseline and at 48 hours after therapy|qualitative and quantitative toxicity|incidence and duration of supplemental oxygen administration|incidence and duration of non-invasive ventilation or by non-rebreather mask or high-flow nasal cannula|incidence and duration of mechanical ventilation|incidence and duration of vasopressor support|incidence and duration of extracorporeal membrane oxygenation|duration of fever|correlation of cytokine profile to clinical outcomes specified in primary and secondary objectives|duration of hospitalization|secondary infections,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19,CP022,not yet recruiting,No Results Available,not applicable,Industry,https://ClinicalTrials.gov/show/NCT04547257,NCT04547257,change in organ failure|change in organ failure|all-cause mortality|change in viral load|organ dysfunction-free days|icu complications|ventilator-free days (vfds|length of stay (los) at icu|prognosis factors,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients,nan,not yet recruiting,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04454307,NCT04454307,number of covid-19 pcr negative cases,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, care provider)|primary purpose: treatment"
Safety and Efficacy of C21 in Subjects With COVID-19,nan,recruiting,No Results Available,phase 2,Industry|Other,https://ClinicalTrials.gov/show/NCT04452435,NCT04452435,change from baseline in c-reactive protein (crp) after treatment with c21 200 mg daily dose (100 mg b.i.d.),interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
Application of Desferal to Treat COVID-19,nan,recruiting,No Results Available,phase 1|phase 2,Other,https://ClinicalTrials.gov/show/NCT04333550,NCT04333550,mortality rate|change in patients clinical manifestation|change in patients pao2|length of hospitalization|c-reactive protein|lymphocyte count|length of intensive care unit stay,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
Dornase Alpha for the Treatment of COVID-19,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04432987,NCT04432987,response|survival,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
