covidtrialID,drugOMOPID
NCT04458948,4149946
NCT04458948,35629362
NCT04458948,1309944
NCT04458948,19133832
NCT04458948,19133981
NCT04458948,1326303
NCT04458948,36238096
NCT04458948,3623303
NCT04458948,19076493
NCT04458948,1351461
NCT04458948,36230603
NCT04458948,36232162
NCT04458948,1353256
NCT04458948,1734104
NCT04425031,1329241
NCT04418193,423913
NCT04418193,1777087
NCT04418193,1734104
NCT04418193,174694
NCT04418193,4261107
NCT04418193,932196
NCT04418193,1101554
NCT04374045,4047983
NCT04374045,19018544
NCT04374045,723634
NCT04447469,4295112
NCT04447469,1314273
NCT04447469,1114375
NCT04447469,44818461
NCT04447469,40171288
NCT04447469,1186087
NCT04447469,42536143
NCT04447469,19010482
NCT04447469,19014878
NCT04447469,1310317
NCT04447469,19003999
NCT04447469,724049
NCT04447469,21601607
NCT04346017,4314777
NCT04326725,36231296
NCT04326725,1792515
NCT04326725,4278527
NCT04351581,4021129
NCT04351581,1317967
NCT04359667,722871
NCT04359667,36310369
NCT04359667,35807403
NCT04359667,4310717
NCT04359667,19052489
NCT04386044,4242843
NCT04470609,413266
NCT04470609,4194672
NCT04470609,35807483
NCT04470609,36712814
NCT04470609,40725
NCT04470609,1551099
NCT04470609,45882364
NCT04470609,40234164
NCT04470609,36310337
NCT04470609,1001419
NCT04470609,4025988
NCT04470609,111041
NCT04470609,785649
NCT04470609,4103415
NCT04470609,4288455
NCT04420260,45877875
NCT04435587,1784444
NCT04435587,930021
NCT04435587,1101554
NCT04435587,932196
NCT04435587,1539403
NCT04435587,1763204
NCT04391920,4232403
NCT04391920,4126099
NCT04470583,4166414
NCT04470583,4029802
NCT04470583,4128938
NCT04470583,45768802
NCT04290780,3580721
NCT04429555,4242843
NCT04429555,4227356
NCT04429555,36309413
NCT04360551,4253605
NCT04360551,4021129
NCT04360551,35621782
NCT04360551,319826
NCT04360551,42539487
NCT04360551,1317967
NCT04360551,19124477
NCT04360551,1326303
NCT04360551,19049024
NCT04360551,97025
NCT04377607,413266
