covidtrialID,drugOMOPID
NCT04458948,1777087
NCT04458948,1734104
NCT04418193,19025274
NCT04359667,4299925
NCT04359667,45768393
NCT04359667,19025274
NCT04359667,46272973
NCT04386044,19009405
NCT04451174,19025274
NCT04345315,4300185
NCT04345315,45765289
NCT04397796,19025274
NCT04397796,4241216
NCT04361552,19071968
NCT04361552,4306137
NCT04425382,173817
NCT04391920,37018292
NCT04409496,42899352
NCT04470583,4144059
NCT04290780,4329982
NCT04429555,45768393
NCT04429555,4299925
NCT04389567,953076
NCT04470258,19025274
NCT04355715,4197268
NCT04327180,19025274
NCT04470648,41956275
NCT04337996,4242843
NCT04429815,718583
NCT04466241,931973
NCT04466241,1756831
NCT04466241,1727223
NCT04445194,4326835
NCT04374071,19025274
NCT04391166,4091862
NCT04448145,4008249
NCT04392219,4080983
NCT04392219,4049795
NCT04392219,4049795
NCT04365959,19025274
NCT04397575,4139463
NCT04397575,4132477
NCT04445506,19025274
NCT04337047,318736
NCT04356586,4330433
NCT04434417,4077953
NCT04434417,4295112
NCT04434417,4049795
NCT04434417,21498436
NCT04429828,4277918
NCT04337359,19025274
NCT04447144,21601607
NCT04447144,4451576
NCT04335747,426843
NCT04335747,4029802
NCT04335747,1550557
NCT04387929,4050717
NCT04387929,45878116
NCT04387929,36717536
NCT04387929,4217015
NCT04385823,35803675
NCT04412551,19025274
NCT04468971,19025274
NCT04448743,358034
NCT04320511,19025274
NCT04403386,718583
NCT04403386,36310337
NCT04373005,4063374
NCT04373005,4577261
NCT04472728,19010309
NCT04472728,36309765
NCT04472728,19025274
NCT04472728,1519936
NCT04466839,41948759
NCT04466839,4323829
NCT04466839,41956877
NCT04466839,4282606
NCT04466839,41956203
NCT04466839,41950186
NCT04409847,4320041
NCT04409847,4058857
NCT04462757,21601607
NCT04453748,4015847
NCT04469491,19025274
NCT04401150,19006871
NCT04367792,4198729
NCT04466540,4242843
NCT04412369,4024511
NCT04350450,1777087
NCT04350450,35917384
NCT04447235,4325686
NCT04353596,42021663
NCT04442048,442752
NCT04442048,4046792
NCT04442048,45880431
NCT04442048,4577261
NCT04442048,4295112
NCT04442048,724038
NCT04409535,4037514
NCT04461925,19025274
NCT04445389,4299925
NCT04427280,41963472
NCT04424836,46238133
NCT04445220,45890565
NCT04445220,358034
NCT04467918,4242843
NCT04378257,718583
NCT04378257,1134439
NCT04458519,44817219
NCT04337983,19006871
NCT04337983,41974947
NCT04337983,35608568
NCT04337983,42068929
NCT04447131,4118659
NCT04444674,4242843
NCT04444674,4024511
NCT04444674,4166414
NCT04366830,19025274
NCT04366830,19010309
NCT04366830,4325686
NCT04324866,1151789
NCT04324866,1119119
NCT04324866,40161532
NCT04324866,45892883
NCT04324866,44816294
NCT04324866,1305058
NCT04324866,929638
NCT04456088,403748
NCT04386265,19025274
NCT04401436,19025274
NCT04401436,42869439
NCT04341142,35624341
NCT04439006,19052489
NCT04360278,35807211
NCT04438629,42070132
NCT04389320,1777087
NCT04452474,1305058
NCT04380909,4166614
NCT04435028,35807214
NCT04446104,4234432
NCT04347408,3580636
NCT04347408,45768802
NCT04394390,19009405
NCT04394390,4194767
NCT04466683,19025274
NCT04358042,4256491
NCT04465513,4077953
NCT04465513,4027509
NCT04465513,4241216
NCT04465513,45876681
NCT04465513,41949357
NCT04465513,4588335
NCT04408326,1321341
NCT04460105,4299925
NCT04460105,45768393
NCT04404192,4027509
NCT04404192,42539752
NCT04453488,4313306
NCT04465058,19025274
NCT04379154,19025274
NCT04455958,35917384
NCT04455958,19117912
NCT04455958,926978
NCT04455958,4194767
NCT04455958,19052489
NCT04455958,19071968
NCT04461353,765721
NCT04461353,4241216
NCT04461353,4194767
NCT04461353,19049024
NCT04461353,19018544
NCT04486729,4126018
NCT04464460,722871
NCT04464460,722591
NCT04464460,4299925
NCT04464460,45768393
NCT04406558,4245293
NCT04474444,724082
NCT04474444,45769428
NCT04481529,41915407
NCT04481529,41929442
NCT04193878,19025274
NCT04193878,4162322
NCT04477668,19025274
NCT03680274,19006871
NCT03680274,1321341
NCT03680274,1343916
NCT03680274,1507835
NCT03680274,133786
NCT03680274,1135766
NCT03305341,19025274
NCT04487964,4194767
NCT04485169,4295112
NCT04485169,19136207
NCT04485169,35807195
NCT04485169,40171288
NCT04485169,757683
NCT04485169,37499271
NCT04485169,4170237
NCT04484207,42080582
NCT04487210,21601607
NCT04487210,4095724
NCT04487210,4241216
NCT04482621,19025274
NCT04349163,438046
NCT03452774,3199553
NCT04406194,724081
NCT04406194,1560524
NCT04406194,906914
NCT04406194,19071968
NCT04406194,19049024
NCT04406194,19018544
NCT04406194,714785
NCT04406194,35807237
NCT04406194,1001419
NCT04400682,724081
NCT04400682,1560524
NCT04400682,906914
NCT04400682,19071968
NCT04400682,19049024
NCT04400682,19018544
NCT04400682,714785
NCT04400682,35807237
NCT04400682,1001419
NCT04233268,4004521
NCT04467086,753626
NCT04467086,708298
NCT02788903,4214679
NCT04476979,3580636
NCT04476979,19025274
NCT04473053,19049024
NCT04473053,3580738
NCT04473053,4077953
NCT04473053,35807468
NCT04480333,765721
NCT04475107,724252
NCT04483960,1777087
NCT04483960,45876157
NCT04481685,1777087
NCT04481685,1792515
NCT04487574,19025274
NCT04486144,21600276
NCT04486144,42898952
NCT04487886,40213256
NCT04487886,19025274
NCT04487886,19052489
NCT04487886,19049228
NCT04487886,155231
NCT04487886,17184
NCT04487886,40765396
NCT04480424,4306137
NCT04475991,19025274
NCT04486482,38003414
NCT04486482,19025274
NCT04486521,21601607
NCT04466800,41929056
NCT04466800,4192912
NCT04477993,1734104
NCT04477993,21601607
NCT04473690,4144375
NCT04473690,42539752
NCT04473690,4300037
NCT04485130,73585
NCT04489628,19025274
NCT04489628,19018544
NCT04489628,19009405
NCT04483973,19025274
NCT04441047,19052489
NCT04441047,4325686
NCT04441047,19071968
NCT04479540,1704839
NCT04407000,724081
NCT04407000,1560524
NCT04407000,906914
NCT04407000,19071968
NCT04407000,19049024
NCT04407000,19018544
NCT04407000,714785
NCT04407000,35807237
NCT04407000,1001419
NCT04476745,4194767
NCT04395508,4017294
NCT04395508,45882609
NCT04444986,724081
NCT04444986,1560524
NCT04444986,906914
NCT04444986,19071968
NCT04444986,19049024
NCT04444986,19018544
NCT04444986,714785
NCT04444986,35807237
NCT04444986,1001419
NCT04481620,19025274
NCT04487691,19025274
NCT04380662,4165029
NCT04380662,4242843
NCT04477954,19025274
NCT04481633,1777087
NCT04481633,1792515
NCT04481633,19014878
NCT04481633,1305058
NCT04481633,4242843
NCT04474457,32765
NCT04476719,724081
NCT04476719,1560524
NCT04476719,906914
NCT04476719,19071968
NCT04476719,19049024
NCT04476719,19018544
NCT04476719,714785
NCT04476719,35807237
NCT04476719,1001419
NCT04485429,2212761
NCT04477655,19025274
NCT04482595,4073634
NCT04482595,19052489
NCT04482595,4306137
NCT04482595,19071128
NCT04386876,724081
NCT04386876,1560524
NCT04386876,906914
NCT04386876,19071968
NCT04386876,19049024
NCT04386876,19018544
NCT04386876,714785
NCT04386876,35807237
NCT04386876,1001419
NCT04486313,42023413
NCT03348670,19025274
NCT04343053,19025274
NCT04476992,19025274
NCT04485364,4201029
NCT04363632,40769051
NCT04363632,42536188
NCT04363632,40488979
NCT04363632,4295112
NCT03648372,1777087
NCT03648372,1792515
NCT03648372,4238439
NCT03648372,35804629
NCT03648372,35804629
NCT04473261,38004694
NCT04328285,42628303
NCT04330495,937368
NCT04330495,1151789
NCT04330495,1119119
NCT04330495,1314273
NCT04330495,1186087
NCT04330495,40171288
NCT04330495,45892883
NCT04330495,45774639
NCT04330495,40161532
NCT04330495,1777087
NCT04330495,1792515
NCT04330495,1436678
NCT04330495,1513103
NCT04348383,19025274
NCT04393038,140641
NCT04343144,19025274
NCT04342728,4191643
NCT04405271,4241216
NCT04363502,19049228
NCT04380961,19025274
NCT04377997,442752
NCT04377997,1367571
NCT04377997,3580416
NCT04377997,35807487
NCT04377997,1112807
NCT04377997,1777087
NCT04398004,4241216
NCT04347174,35807195
NCT04397692,403748
NCT04283461,4042216
NCT04283461,4241216
NCT04283461,765721
NCT04283461,4295937
NCT04283461,19052489
NCT04283461,4325686
NCT04283461,19071968
NCT04283461,35807487
NCT04371406,1777087
NCT04371406,1734104
NCT04408040,4173442
NCT04288102,19025274
NCT04352985,19006871
NCT04352985,1321341
NCT04352985,133786
NCT04352985,1135766
NCT04352985,1343916
NCT04352985,1507835
NCT04355247,4024511
NCT04355247,4008249
NCT04302519,19025274
NCT04343989,19049228
NCT04425252,40769051
NCT04323332,4108915
NCT04381923,41954407
NCT04352608,21601607
NCT04407689,4024511
NCT04407689,4112808
NCT04407689,19025274
NCT04409886,19025274
NCT04341870,19025274
NCT04353271,44817219
NCT04369742,42046283
NCT04369742,1777087
NCT04369742,135486
NCT04369742,1309944
NCT04369742,1326303
NCT04369742,1351461
NCT04369742,1353256
NCT04369742,700299
NCT04369742,74579
NCT04348500,4299925
NCT04348500,45768393
NCT04442178,4024511
NCT04442178,35807449
NCT04442178,35807409
NCT04442178,1114375
NCT04442178,19025274
NCT04341389,4194767
NCT04359095,40766657
NCT04359095,19006871
NCT04358549,1551099
NCT04358549,35807403
NCT04358549,4242843
NCT04358549,40769051
NCT04358549,42900474
NCT04358549,42900474
NCT04390139,21601607
NCT04421391,4241216
NCT04354428,4588466
NCT04354428,1551099
NCT04354428,1314512
NCT04354428,45772615
NCT04402879,19025274
NCT04409509,19025274
NCT04401410,4058626
NCT04401410,1314273
NCT04455243,19025274
NCT04400838,4024511
NCT04287686,4342025
NCT04371744,1777087
NCT04356417,72417
NCT04356417,1792515
NCT04356417,1777087
NCT04356417,37017293
NCT04356417,42539487
NCT04370171,201826
NCT04449588,19025274
NCT04449588,4139525
NCT04443868,4027509
NCT04443868,4241216
