interventionName,interventionID
hydroxychloroquine [drug],intervention_0
azithromycin [drug],intervention_1
convalescent plasma [biological],intervention_2
no intervention [other],intervention_3
placebo oral tablet [drug],intervention_4
tocilizumab [drug],intervention_5
questionnaire [other],intervention_6
favipiravir [drug],intervention_7
ivermectin [drug],intervention_8
remdesivir [drug],intervention_9
placebos [drug],intervention_10
standard of care [drug],intervention_11
survey [other],intervention_12
lopinavir/ritonavir [drug],intervention_13
methylprednisolone [drug],intervention_14
chloroquine [drug],intervention_15
ruxolitinib [drug],intervention_16
covid-19 convalescent plasma [biological],intervention_17
nitazoxanide [drug],intervention_18
vitamin d [dietary supplement],intervention_19
losartan [drug],intervention_20
baricitinib [drug],intervention_21
enoxaparin [drug],intervention_22
colchicine [drug],intervention_23
convalescent plasma [drug],intervention_24
blood sample [other],intervention_25
vitamin c [dietary supplement],intervention_26
online survey [other],intervention_27
lung ultrasound [diagnostic test],intervention_28
hydroxychloroquine + azithromycin [drug],intervention_29
sarilumab [drug],intervention_30
vitamin d3 [dietary supplement],intervention_31
anakinra [drug],intervention_32
standard treatment [drug],intervention_33
fludase [drug],intervention_34
umbilical cord mesenchymal stem cells [biological],intervention_35
lopinavir / ritonavir [drug],intervention_36
camostat mesilate [drug],intervention_37
povidone-iodine [drug],intervention_38
zinc [drug],intervention_39
questionnaire assesment [other],intervention_40
oseltamivir [drug],intervention_41
anti-sars-cov-2 convalescent plasma [biological],intervention_42
interferon beta-1a [drug],intervention_43
nitric oxide [drug],intervention_44
interferon beta-1b [drug],intervention_45
clazakizumab [drug],intervention_46
mesenchymal stromal cells [biological],intervention_47
hydrocortisone [drug],intervention_48
doxycycline [drug],intervention_49
bacillus calmette–guérin vaccine [biological],intervention_50
dexamethasone [drug],intervention_51
telemedicine [other],intervention_52
vitamin c [drug],intervention_53
data collection [other],intervention_54
mavrilimumab [drug],intervention_55
blood sample [biological],intervention_56
nasopharyngeal swab [diagnostic test],intervention_57
unfractionated heparin [drug],intervention_58
sars-cov-2 convalescent plasma [biological],intervention_59
tofacitinib [drug],intervention_60
chloroquine phosphate [drug],intervention_61
rivaroxaban [drug],intervention_62
heparin [drug],intervention_63
saline [biological],intervention_64
sargramostim [drug],intervention_65
