covidtrialID,interventionID
NCT04372602,intervention_106
NCT04372602,intervention_107
NCT04482621,intervention_275
NCT04482621,intervention_276
NCT04425538,intervention_277
NCT04547257,intervention_501
NCT04454307,intervention_278
NCT04454307,intervention_127
NCT04452435,intervention_279
NCT04333550,intervention_108
NCT04432987,intervention_109
NCT04336904,intervention_7
NCT04445272,intervention_5
NCT04354831,intervention_42
NCT04351802,intervention_28
NCT04540393,intervention_268
NCT04345445,intervention_5
NCT04345445,intervention_14
NCT04359095,intervention_0
NCT04359095,intervention_280
NCT04359095,intervention_1
NCT04359095,intervention_269
NCT04361422,intervention_281
NCT04460547,intervention_110
NCT04460547,intervention_0
NCT04460547,intervention_34
NCT04460547,intervention_8
NCT04460547,intervention_43
NCT04355741,intervention_111
NCT04388683,intervention_44
NCT04421534,intervention_282
NCT04501796,intervention_2614
NCT04501796,intervention_2615
NCT04331509,intervention_3
NCT04428801,intervention_283
NCT04466644,intervention_284
NCT04466644,intervention_285
NCT04431908,intervention_286
NCT04343183,intervention_112
NCT04347915,intervention_287
NCT04333407,intervention_288
NCT04333407,intervention_289
NCT04333407,intervention_290
NCT04333407,intervention_291
NCT04333407,intervention_292
NCT04470622,intervention_294
NCT04470622,intervention_295
NCT04452669,intervention_296
NCT04406389,intervention_297
NCT04406389,intervention_58
NCT04406389,intervention_298
NCT04406389,intervention_299
NCT04342637,intervention_113
NCT04291053,intervention_300
NCT04412486,intervention_301
NCT04336462,intervention_302
NCT04336462,intervention_303
NCT04534673,intervention_2616
NCT04393038,intervention_304
NCT04404179,intervention_305
NCT04474483,intervention_114
NCT04474483,intervention_306
NCT04342689,intervention_307
NCT04342689,intervention_308
NCT04479358,intervention_5
NCT04363346,intervention_310
NCT04369820,intervention_309
NCT04401423,intervention_293
NCT04470557,intervention_311
NCT04470557,intervention_312
NCT04514302,intervention_2617
NCT04392141,intervention_33
NCT04392141,intervention_313
NCT04418284,intervention_12
NCT04449718,intervention_19
NCT04324489,intervention_34
NCT04370262,intervention_316
NCT04370262,intervention_317
NCT04472572,intervention_2
NCT04549831,intervention_2618
NCT04386759,intervention_318
NCT04497324,intervention_2
NCT04474496,intervention_319
NCT04376788,intervention_322
NCT04376788,intervention_323
NCT04376788,intervention_324
NCT04366882,intervention_325
NCT04335123,intervention_20
NCT04360356,intervention_326
NCT04434248,intervention_7
NCT04434248,intervention_11
NCT04350593,intervention_327
NCT04372979,intervention_328
NCT04372979,intervention_329
NCT04456413,intervention_2
NCT04456413,intervention_115
