covidtrialID,locationID
NCT04372602,loc_0
NCT04482621,loc_0
NCT04459637,loc_10
NCT04425538,loc_0
NCT04547257,loc_13
NCT04452435,loc_17
NCT04452435,loc_5
NCT04333550,loc_40
NCT04336904,loc_3
NCT04445272,loc_2
NCT04354831,loc_0
NCT04540393,loc_7
NCT04345445,loc_30
NCT04359095,loc_23
NCT04508712,loc_10
NCT04355741,loc_38
NCT04388683,loc_0
NCT04501796,loc_0
NCT04331509,loc_0
NCT04331509,loc_5
NCT04466644,loc_0
NCT04431908,loc_0
NCT04343183,loc_0
NCT04347915,loc_31
NCT04333407,loc_5
NCT04470622,loc_0
NCT04470622,loc_59
NCT04452669,loc_0
NCT04406389,loc_0
NCT04342637,loc_0
NCT04342637,loc_14
NCT04342637,loc_40
NCT04412486,loc_0
NCT04336462,loc_10
NCT04534673,loc_28
NCT04393038,loc_12
NCT04393038,loc_4
NCT04393038,loc_1
NCT04393038,loc_8
NCT04393038,loc_3
NCT04393038,loc_2
NCT04393038,loc_5
NCT04404179,loc_25
NCT04490174,loc_0
NCT04474483,loc_0
NCT04342689,loc_0
NCT04479358,loc_0
NCT04389658,loc_2
NCT04363346,loc_0
NCT04401423,loc_0
NCT04392141,loc_40
NCT04449718,loc_4
NCT04324489,loc_10
NCT04370262,loc_0
NCT04347993,loc_0
NCT04472572,loc_0
NCT04549831,loc_3
NCT04497324,loc_27
NCT04323228,loc_26
NCT04474496,loc_0
NCT04376788,loc_14
NCT04366882,loc_12
NCT04335123,loc_0
NCT04434248,loc_7
NCT04350593,loc_0
NCT04350593,loc_4
NCT04372979,loc_1
NCT04456413,loc_0
NCT04464395,loc_0
NCT04343755,loc_0
NCT04425629,loc_0
NCT04321421,loc_3
NCT04432298,loc_0
NCT04445233,loc_0
NCT04329611,loc_6
NCT04387929,loc_3
NCT04306497,loc_10
NCT04321993,loc_6
NCT04351659,loc_37
NCT04544605,loc_35
NCT04323332,loc_10
NCT04382066,loc_2
NCT04390178,loc_20
NCT04528368,loc_4
NCT04465695,loc_35
NCT04339660,loc_10
NCT04375202,loc_3
NCT04444310,loc_14
NCT04527081,loc_32
NCT04352582,loc_5
NCT04382092,loc_12
NCT04463472,loc_32
NCT04412252,loc_0
NCT04287686,loc_10
NCT04464408,loc_26
NCT04364022,loc_19
NCT04361916,loc_3
NCT04385108,loc_1
NCT04344015,loc_0
NCT04344145,loc_12
NCT04370808,loc_38
NCT04354389,loc_3
NCT04381052,loc_0
NCT04317092,loc_3
NCT04480632,loc_23
NCT04333420,loc_13
NCT04324996,loc_10
NCT04391712,loc_0
NCT04495101,loc_2
NCT04426695,loc_0
NCT04385043,loc_3
NCT04397822,loc_1
NCT04384497,loc_20
NCT04542694,loc_7
NCT04432324,loc_2
NCT04340232,loc_0
NCT04359615,loc_40
NCT04532931,loc_16
NCT04511819,loc_0
NCT04511819,loc_4
NCT04511819,loc_15
NCT04359316,loc_40
NCT04536298,loc_0
NCT04547127,loc_2
NCT04343768,loc_40
NCT04497948,loc_0
