covidtrialID,measurementOMOPID
NCT04458948,4310328
NCT04458948,4313591
NCT04458948,4329601
NCT04458948,4233883
NCT04354558,4120014
NCT04338100,35936593
NCT04470544,414638
NCT04470544,4189605
NCT04470544,2212296
NCT04425031,4165535
NCT04418193,4310328
NCT04418193,4096101
NCT04418193,4353936
NCT04447469,37311065
NCT04447469,4172077
NCT04447469,4096101
NCT04463628,42898711
NCT04346017,4215562
NCT04346017,4077703
NCT04346017,43012761
NCT04346017,4322628
NCT04346017,4120014
NCT04346017,2212333
NCT04346017,19054702
NCT04359667,4120014
NCT04359667,4353936
NCT04359667,4096101
NCT04424849,4196729
NCT04403035,4120014
NCT04403035,4186543
NCT04438863,4081164
NCT04438863,4209006
NCT04438863,4245997
NCT04451902,4057304
NCT04410484,37311061
NCT04451174,423232
NCT04360811,4227955
NCT04353609,4029802
NCT04353609,4133775
NCT04409197,4245997
NCT04397796,40218805
NCT04397796,4120014
NCT04397796,4233883
NCT04397796,4353713
NCT04397796,37398482
NCT04397796,4083067
NCT04363749,36311139
NCT04363749,4245997
NCT04470609,4165738
NCT04470609,4224504
NCT04470609,4152194
NCT04470609,415479
NCT04443140,4120014
NCT04363008,4281995
NCT04352764,44784217
NCT04468646,4120014
NCT04468646,4313591
NCT04468646,45770406
NCT04468646,4353936
NCT04361552,439937
NCT04361552,4322628
NCT04361552,42741827
NCT04361552,4121879
NCT04386083,3800105
NCT04420260,448062
NCT04379310,4120014
NCT04379310,4133775
NCT04425382,4120014
NCT04435587,4120014
NCT04405934,37311061
NCT04407273,4120014
NCT04341168,4161294
NCT04340466,4161294
NCT04327505,4233883
NCT04327505,4136225
NCT04327505,4322628
NCT04327505,43287
NCT04429555,4133775
NCT04429555,4096101
NCT04429555,4313591
NCT04429555,4245997
NCT04468386,4032479
NCT04360551,4326744
NCT04360551,4329601
NCT04360551,45771331
NCT04361591,4120014
NCT04320017,4120014
NCT04377607,37311061
NCT04377607,4120014
NCT04435223,4313591
NCT04435223,4093836
NCT04359849,37311061
NCT04372030,4330433
NCT04470258,4013636
NCT04470258,4096101
NCT04470258,4099592
NCT04470258,3027946
NCT04470258,4353936
NCT04470258,45880209
NCT04455347,4120014
NCT04455347,4196729
NCT04420806,4052851
NCT04327180,4313591
NCT04453280,4120014
NCT04470648,41954816
NCT04470648,35807283
NCT04354584,4129644
NCT04337996,44789315
NCT04429815,37311061
NCT04429815,4036429
NCT04466241,4120014
NCT04466241,4169456
NCT04416347,4353936
NCT04418245,37044592
NCT04350086,41962903
NCT04445194,4302666
NCT04445194,4245997
NCT04245631,4261867
NCT04245631,4198678
NCT04245631,4254663
NCT04380987,4120014
NCT04335279,42869722
NCT04456361,4233883
NCT04456361,4353713
NCT04397666,37044592
NCT04392219,4240345
NCT04392219,4181663
NCT04392219,4245997
NCT04372472,4326744
NCT04372472,45771331
NCT04372472,4224504
NCT04372472,4313591
NCT04372472,4132152
NCT04372472,40218805
NCT04408391,40484652
NCT04408391,4261867
NCT04459689,4239314
NCT04397575,4110591
NCT04397575,4120014
NCT04397575,4099605
NCT04410549,4322628
NCT04410549,439937
NCT04463602,4120014
NCT04445506,2212761
NCT04388631,4036796
NCT04388631,4088036
NCT04388631,40758873
NCT04410939,4120014
NCT04411563,42572814
NCT04411563,413511
NCT04434417,4313591
NCT04434417,42599524
NCT04434417,4198678
NCT04434417,4254663
NCT04434417,35928795
NCT04445207,4313591
NCT04445207,4233883
NCT04374695,4310328
NCT04388436,35804595
NCT04323644,37311061
NCT04337359,36308963
NCT04337359,4120014
NCT04337359,40218805
NCT04337359,4313591
NCT04337359,4310328
NCT04337359,4353936
NCT04337359,410346
NCT04423289,40484652
NCT04274322,4207132
NCT04371029,4120014
NCT04469114,4120014
NCT04452435,35923655
NCT04452435,2212761
NCT04435015,37311061
NCT04435015,4322628
