covidtrialID,observationOMOPID
NCT04425031,4023221
NCT04418193,3050013
NCT04359667,4306655
NCT04368676,440925
NCT04470609,40973
NCT04470609,36310207
NCT04470609,4203148
NCT04470609,704053
NCT04409496,4219336
NCT04407195,4022069
NCT04381013,4013866
NCT04344210,4162723
NCT04374071,4306655
NCT04353141,4043522
NCT04392219,4203148
NCT04392219,4219336
NCT04392219,4135823
NCT04445506,3036808
NCT04428099,4021336
NCT04328454,2720513
NCT04452435,4195864
NCT04364828,4242424
NCT04468971,4048295
NCT04403386,4298794
NCT04472728,4306655
NCT04472728,4041508
NCT04304690,4225437
NCT04462757,4306655
NCT04376593,3050013
NCT04366206,4014023
NCT04459286,43021287
NCT04469491,4219484
NCT04401150,4306655
NCT04346277,45880431
NCT04346277,35921199
NCT04460027,4219484
NCT04363333,3050013
NCT04363333,4203148
NCT04379453,3050013
NCT04466540,4306655
NCT04335097,402267
NCT04456595,4203148
NCT04456595,4094126
NCT04431856,4074035
NCT04431856,4219484
NCT04335630,40479411
NCT04406688,4271678
NCT04406688,407634
NCT04425499,4277918
NCT04445389,4023221
NCT04445220,4306655
NCT04467918,4203148
NCT04467918,4274663
NCT04378257,4203148
NCT04393402,402267
NCT04444674,437525
NCT04444674,4203148
NCT04444674,45878027
NCT04444674,4043522
NCT04405492,4046033
NCT04324866,4119368
NCT04324866,4119369
NCT04360278,4022061
NCT04360278,40973
NCT04400279,4022069
NCT04452474,4271678
NCT04452474,4048295
NCT04400461,440279
NCT04466670,4244571
NCT04466670,4306655
NCT04466670,4014023
NCT04459676,4048295
NCT04425005,4026921
NCT04272710,2720513
NCT04445233,4053939
NCT04466683,35921199
NCT04370678,4306655
NCT04460105,4306655
NCT04453488,41963215
NCT04474340,2720513
NCT04474340,4035815
NCT04461353,42575912
NCT04461353,4274663
NCT04461353,4219336
NCT04461353,45879403
NCT04476927,4203148
NCT04464460,4306655
NCT04464460,3050013
NCT03808922,4048295
NCT03808922,45879403
NCT03808922,37079172
NCT03808922,373995
NCT03808922,4587713
NCT03808922,4176409
NCT03808922,35921199
NCT03808922,4271678
NCT03808922,45879039
NCT03808922,4587713
NCT03808922,45879039
NCT03808922,4058627
NCT04474444,4203148
NCT04475588,4306655
NCT04447781,4203148
NCT04447781,4298794
NCT04447781,45884068
NCT03680274,4306655
NCT04482686,439224
NCT04487210,45884068
NCT04487210,4203148
NCT03331445,4274663
NCT04278404,4271678
NCT04278404,35921199
NCT04419870,4121207
NCT04419870,4119368
NCT04479631,4203148
NCT04333875,3050013
NCT04406194,4162308
NCT04406194,403788
NCT04406194,4203148
NCT04406194,42575912
NCT04400682,4162308
NCT04400682,403788
NCT04400682,4203148
NCT04400682,42575912
NCT04233268,4048295
NCT04351880,42575912
NCT04478539,4176766
NCT04484597,35921199
NCT04484597,4271678
NCT04479358,35921199
NCT04473274,35921199
NCT04483960,4306655
NCT04481685,4048295
NCT04487574,440279
NCT04487574,4203148
NCT04487574,4302198
NCT04487886,35921199
NCT04482673,4229765
NCT04487444,35921199
NCT04477993,4035815
NCT04473690,4323074
NCT04473690,4043522
NCT04485130,4074035
NCT02735707,4306655
NCT04441047,45879403
NCT04414241,4239582
NCT04407000,4162308
NCT04407000,403788
NCT04407000,4203148
NCT04407000,42575912
NCT04480112,4203148
NCT04410432,4256491
NCT04480580,4114687
NCT04444986,4162308
NCT04444986,403788
NCT04444986,4203148
NCT04444986,42575912
NCT04479202,4306655
NCT03891420,4306655
NCT04482712,4203148
NCT04482712,4035815
NCT03376854,4048295
NCT04476719,4162308
NCT04476719,403788
NCT04476719,4203148
NCT04476719,42575912
NCT04368026,4022069
NCT04479644,4203148
NCT04460599,4256491
NCT04483375,4271678
NCT04483375,35921199
NCT04483375,40973
NCT04483375,4203148
NCT04386876,4162308
NCT04386876,403788
NCT04386876,4203148
NCT04386876,42575912
NCT04486313,4035815
NCT04473365,43021287
NCT04477213,45884068
NCT04479163,46273414
NCT04487119,46284443
NCT03648372,45879403
NCT04402970,3050013
NCT04331834,4239582
NCT04391309,45880431
NCT04391309,46234712
NCT04391309,35921199
NCT04336410,4033543
NCT04336410,4274663
NCT04268537,2720513
NCT04308317,4306655
NCT04308317,4271678
NCT04329650,4048295
NCT04377659,3050013
NCT04401475,4306655
NCT04401475,37311061
NCT04380961,1002237
NCT04395170,4306655
NCT04347174,3050013
NCT04283461,45757518
NCT04283461,4238904
NCT04283461,42628521
NCT04283461,4293435
NCT04283461,4323074
NCT04283461,4043522
NCT04283461,4274663
NCT04283461,402166
NCT04283461,4088275
NCT04412252,40768411
NCT04355247,3050013
NCT04370262,43021287
NCT04302519,4048295
NCT04429763,4048295
NCT04365257,45879403
NCT04425252,4035815
NCT04333550,4271678
NCT04352608,4043522
NCT04352608,3181556
NCT04352608,35921199
NCT04352608,4271678
NCT04352608,4203148
NCT04380532,4274663
NCT04407689,35921199
NCT04359615,4203148
NCT04351490,3050013
NCT04295551,4048295
NCT04373291,407634
NCT04353271,440925
NCT04360096,4176766
NCT04358549,4203148
NCT04390139,2720513
NCT04345289,4306655
NCT04345289,37311061
NCT04397562,3050013
NCT04389671,3050013
NCT04356677,4322482
NCT04382755,4048295
NCT04409509,703439
NCT04409509,4023221
NCT04334265,35921199
NCT04392973,4014023
NCT04453891,442165
NCT04455243,4306655
NCT04400838,4203148
NCT04400838,45878027
NCT04446065,45884068
NCT04446065,403788
NCT04386564,4271678
NCT04287686,4306655
NCT04370171,3050013
NCT04469621,37311061
NCT04374084,4044711
NCT04302688,4306655
NCT04435379,407634
NCT04334850,4306655
NCT04375774,4274663
NCT04381351,4271678
NCT04355338,45884068
NCT04355338,4195864
NCT04376658,4306655
NCT04459637,3050013
NCT04377425,3050013
NCT04407559,4330417
NCT04467840,4035815
NCT04467840,4048295
NCT04382781,4014023
NCT04456452,4306655
NCT04450004,45879403
NCT04450004,4219336
NCT04450004,4274663
NCT04459702,439224
NCT04399252,4053939
NCT04411147,4203148
NCT04411147,4043522
NCT04327531,4022069
NCT04367870,3050013
NCT04444271,4119499
NCT04435106,4223299
NCT04350736,4219336
NCT04350736,36716475
NCT04470297,43021287
NCT04390126,4046033
NCT04441814,4203148
NCT04333407,21494884
NCT04333407,3050013
NCT04466098,3050013
NCT04446377,4035815
NCT04446377,2149843
NCT04412343,4075635
NCT04458298,21603127
NCT04355624,402267
NCT04357769,4046033
NCT04365764,4014023
NCT04369300,45879637
NCT04425915,3050013
NCT04459975,4306655
NCT04416464,4242424
NCT04468958,35921199
NCT04443270,35921199
NCT04465695,4203148
NCT04464408,4014023
NCT04306497,35921199
NCT04306497,4271678
NCT04292964,2720513
NCT04374097,407634
NCT04383652,4046033
NCT04459325,3050013
NCT04453839,4162369
NCT04436276,4033543
NCT04357847,4302198
NCT04451291,3050013
NCT04451291,4176766
NCT04451291,35921199
NCT04463472,4271678
NCT04377074,407634
NCT04408248,4271678
NCT04409743,3199
NCT04434157,4041508
NCT04293692,4048295
NCT04382092,4014023
NCT04390555,4191643
NCT04326036,3030328
NCT04418947,4306655
NCT04449276,4203148
NCT04449276,4274663
NCT04449276,45757518
NCT04449276,407634
NCT04422626,4048295
NCT04453384,3050013
NCT04453384,2149843
NCT04312100,4271678
NCT04454398,3050013
NCT04377464,40768411
NCT04337762,4247398
NCT04423042,4014023
NCT04387409,407634
NCT04370210,4084661
NCT04393155,4306655
NCT04393155,4044711
NCT04344015,4022061
NCT04350073,4342025
NCT04350073,2720513
NCT04374474,4298794
NCT04469179,4035815
NCT04469179,35921199
NCT04452487,4306655
NCT04419623,3050013
NCT04345887,3050013
NCT04359654,3050013
NCT04344379,4271678
NCT04357613,4014023
NCT04359537,4176766
NCT04378712,4203148
NCT04276688,4203148
NCT04391179,4048295
NCT04299724,3050013
NCT04377503,4306655
NCT04406064,4048295
NCT04344548,4149241
NCT04382625,3050013
NCT04427566,4048295
NCT04427566,2720513
NCT04427566,4043522
NCT04385836,44804574
NCT04421027,42575912
NCT04421027,4048295
NCT04363346,4035815
NCT04370015,4053939
NCT04425733,4306655
NCT04416048,46273058
NCT04416048,46273058
NCT04405076,4043522
NCT04405076,45884068
NCT04405076,4219336
NCT04405076,4274663
NCT04331899,4149241
NCT04276896,3050013
NCT04338698,35921199
NCT04396106,4035815
NCT04346628,4203148
NCT04364763,4035815
NCT04321616,3050013
NCT04359901,4302198
NCT04359901,4035815
NCT04319900,4014023
NCT04269525,35921199
NCT04330638,4048295
NCT04412538,4271678
NCT04412538,35921199
NCT04412538,40973
NCT04412538,36310207
NCT04412538,4203148
NCT04412538,4008008
NCT04412538,704053
NCT04382651,4306655
NCT04382651,4088275
NCT04275245,4242424
NCT04350684,4203148
NCT04375202,4271678
NCT04345614,2720513
NCT04365517,4203148
