covidtrialID,observationOMOPID
NCT04458948,4035815
NCT04458948,3050013
NCT04470544,45878027
NCT04418193,1586096
NCT04374045,4115472
NCT04451902,4229765
NCT04353609,4229765
NCT04363749,4274663
NCT04443140,1586096
NCT04361552,4298794
NCT04361552,4274663
NCT04425382,45878027
NCT04409496,4005823
NCT04327505,4274663
NCT04438967,45879403
NCT04449783,4205408
NCT04429555,4035815
NCT04458246,35921199
NCT04361591,35921199
NCT04411511,4320169
NCT04407195,407634
NCT04381013,45879403
NCT04381013,4013866
NCT04429815,4298794
NCT04429815,4222303
NCT04350086,44790559
NCT04350086,4014023
NCT04344197,4140339
NCT04245631,4043522
NCT04448145,45878027
NCT04372472,46237515
NCT04408391,437496
NCT04412304,45878027
NCT04397575,35921199
NCT04397575,4271678
NCT04397575,45884367
NCT04408131,4139934
NCT04411563,4051098
NCT04428099,4212714
NCT04434417,4301897
NCT04445207,45878027
NCT04429828,4277918
NCT04416256,4271678
NCT04323644,46237515
NCT04380714,4115472
NCT04337359,4035815
NCT04337359,4295892
NCT04321811,1586096
NCT04346186,407634
NCT04399967,4274663
NCT04399967,4274663
NCT04324047,4035815
NCT04448743,4298794
NCT04320511,4035815
NCT04460469,4277918
NCT04403386,4043522
NCT04403386,36716475
NCT04403386,4219336
NCT04354610,45884367
NCT04472728,4048295
NCT04472728,45879403
NCT04366882,40479411
NCT04420338,4046033
NCT04373200,45884367
NCT04422353,4176726
NCT04422353,4044711
NCT04463433,4144287
NCT04374370,45878027
NCT04462848,4242424
NCT04396314,4085332
NCT04346277,4035815
NCT04364711,46237515
NCT04364711,45878027
NCT04344834,4182352
NCT04323787,40479411
NCT04445961,45879403
NCT04466540,4274663
NCT04327804,4043522
NCT04327804,44810053
NCT04346810,4046033
NCT04353596,45879403
NCT04397939,45878027
NCT04442048,3050013
NCT04409535,4247398
NCT04425499,4144287
NCT04401371,4277918
NCT04445220,45878027
NCT04375761,4046033
NCT04375761,4072763
NCT04337983,4330442
NCT04444674,40973
NCT04471636,4043369
NCT04448717,4144287
NCT04448717,4330427
NCT04448717,407634
NCT04371848,4075635
NCT04456088,4035815
NCT04341714,4302396
NCT04439006,4035815
NCT04360278,4022061
NCT04400461,4044711
NCT04437940,4088275
NCT04445233,4053939
NCT04422574,4037803
NCT04337788,4059015
NCT04466683,4035815
NCT04465513,4298794
NCT04465513,4052032
NCT04368143,45878027
NCT04391881,4587921
NCT04426318,4144287
NCT04351659,40973
NCT04351659,4022061
NCT04460105,4035815
NCT04470999,45879403
NCT04371315,45878027
NCT04455958,4587713
NCT04461353,46237515
NCT04375410,4144287
NCT04464460,45770406
NCT04464460,4035815
NCT04363775,36309512
NCT03808922,4055357
NCT03808922,4073397
NCT03808922,4182726
NCT03808922,765677
NCT03808922,3002644
NCT03808922,4247398
NCT03808922,703439
NCT03808922,45878027
NCT03808922,4181583
NCT04368832,4478995
NCT04193878,4048295
NCT04193878,46237515
NCT04193878,4035815
NCT03305341,4035815
NCT04485169,4306655
NCT04475601,4099958
NCT04475601,46234712
NCT04409275,3050013
