covidtrialID,procedureOMOPID
NCT04458948,706637
NCT04338100,4172438
NCT04425031,19025274
NCT04425031,3701751
NCT04425031,45875989
NCT04425031,4327748
NCT04418193,4163951
NCT04374045,4163951
NCT04374045,4202832
NCT04447469,19025274
NCT04447469,4052536
NCT04447469,4163951
NCT04424849,42873024
NCT04424849,407374
NCT04384250,4314777
NCT04386044,4046792
NCT04386044,4208341
NCT04451174,19025274
NCT04360811,429725
NCT04397796,4202832
NCT04363749,38003159
NCT04363749,4130819
NCT04470609,4144375
NCT04470609,4132855
NCT04470609,4144375
NCT04470609,420705
NCT04470609,4190432
NCT04470609,4314777
NCT04470609,4240345
NCT04470609,2149843
NCT04386083,4163872
NCT04470583,4273629
NCT04340466,4300757
NCT04327505,407374
NCT04449783,3020812
NCT04429555,4202832
NCT04429555,706637
NCT04468386,40973
NCT04360551,706637
NCT04411784,4013731
NCT04432870,937652
NCT04472052,419819
NCT04355754,45768197
NCT04327180,42537894
NCT04365608,4202832
NCT04365608,4103523
NCT04365166,45875989
NCT04365166,4028623
NCT04365166,4314777
NCT04365166,4273629
NCT04466241,4163951
NCT04375709,45768197
NCT04380779,4052536
NCT04350086,36310218
NCT04445194,4240345
NCT04445194,4144375
NCT04445194,4144375
NCT04445194,4021316
NCT04445194,4211641
NCT04445194,4125482
NCT04427137,45768178
NCT04427137,4106154
NCT04427137,45881689
NCT04427137,4234743
NCT04427137,4053938
NCT04335279,4254477
NCT04456361,35622675
NCT04397666,19025274
NCT04392219,4144375
NCT04408391,19025274
NCT04408391,4013636
NCT04408391,4000891
NCT04342104,19025274
NCT04463602,706637
NCT04463602,19025274
NCT04388631,4242804
NCT04368975,4202832
NCT04411563,35804199
NCT04411563,4314777
NCT04438239,44803204
NCT04445207,4182536
NCT04323644,407374
NCT04423289,4222885
NCT04469114,19025274
NCT04469114,4052536
NCT04469114,4180938
NCT04469114,4027509
NCT04452435,4049795
NCT04452435,19025274
NCT04452435,4004519
NCT04452643,4019381
NCT04385823,4202832
NCT04412551,4172438
NCT04412551,706637
NCT04412551,36310597
NCT04468971,4240345
NCT04468971,4052536
NCT04468971,4202832
NCT04453371,429498
NCT04320511,36308558
NCT04320511,19025274
NCT04320511,2790297
NCT04320511,4146276
NCT04406181,429498
NCT04339998,36310597
NCT04358588,45768197
NCT04358588,4165535
NCT04358588,4168133
NCT04463264,19025274
NCT04445246,19025274
NCT04472728,19025274
NCT04472728,4052536
NCT04472728,4139525
NCT04472728,706637
NCT04472728,2149843
NCT04403607,4228886
NCT04420338,4144375
NCT04401449,4013636
NCT04401449,4032404
NCT04401449,4180938
NCT04401449,19025274
NCT04373200,19025274
NCT04422353,4121697
NCT04422353,4046932
NCT04422353,36310218
NCT04374370,4182536
NCT04449042,4202832
NCT04449042,4013354
NCT04459286,19025274
NCT04462848,4182536
NCT04368208,4239471
NCT04401150,44791135
NCT04401150,19025274
NCT04401150,19025274
NCT04346277,4202832
NCT04346277,37018292
NCT04346277,4208341
NCT04391686,4202832
NCT04391686,4146903
NCT04391686,4217482
NCT04472611,4202832
NCT04379453,4300185
NCT04379453,457668
NCT04379453,4017169
NCT04380792,4052536
NCT04424082,4052536
NCT04327804,44790257
NCT04327804,4273629
NCT04412369,45758235
NCT04461379,4273629
NCT04461379,4173939
NCT04461379,4144375
NCT04472793,4144375
NCT04456595,4240345
NCT04456595,4144375
NCT04456595,4314777
NCT04456595,4220084
NCT04456595,4300185
NCT04456595,4021316
NCT04456595,4132855
NCT04456595,42538189
NCT04337489,4302042
NCT04353596,19025274
NCT04406688,4021976
NCT04418544,4168133
NCT04418544,30753
NCT04418544,4220084
NCT04442048,4028623
NCT04442048,4273629
NCT04379531,22492
NCT04379531,44803204
NCT04468256,421613
NCT04468256,36310793
NCT04461925,19025274
NCT04445389,4059766
NCT04445389,4144375
NCT04460183,4139525
NCT04460183,44791135
NCT04460183,4168133
NCT04341480,4300757
NCT04406233,19025274
NCT04467918,4302259
NCT04458519,4273629
NCT04458519,4208341
NCT04458519,4027509
NCT04447131,19025274
NCT04444674,4144375
NCT04444674,4144375
NCT04444674,42538189
NCT04366830,4052536
NCT04366830,423913
NCT04324866,4314777
NCT04456088,4165535
NCT04456088,4202832
NCT04456088,19025274
NCT04456088,4168133
NCT04439006,19025274
NCT04439006,42537894
NCT04439006,45882769
NCT04439006,2149843
NCT04360278,4273629
NCT04360278,4182536
NCT04360278,4148431
NCT04360278,4300185
NCT04410471,4273629
NCT04452474,4059029
NCT04459676,4240345
NCT04459676,412012
NCT04459676,4324124
NCT04380870,4216339
NCT04374617,4052536
NCT04448119,4027509
NCT04466683,19025274
NCT04466683,37395712
NCT04466683,4029715
NCT04466683,4172438
NCT04466683,4141762
NCT04466683,4028623
NCT04466683,4208341
NCT04466683,4314777
NCT04465513,36308581
NCT04368143,4114508
NCT04370678,44791137
NCT04389333,4234106
NCT04389333,36310218
NCT04460105,19025274
NCT04460105,4052536
NCT04460105,19006871
NCT04460105,429709
NCT04460105,36308581
NCT04404192,44790257
NCT04404192,4163951
NCT04404192,4240345
NCT04453488,4208341
NCT04453488,4028623
NCT04453488,4144375
NCT04359706,408573
NCT04359706,4273629
NCT04359706,4028623
NCT04359706,3720434
NCT04414059,4202832
NCT04470999,4220084
NCT04455958,42742412
NCT04474340,19025274
NCT04474340,4202832
NCT04461353,4222885
NCT04461353,4240345
NCT04473352,35917007
NCT04473352,4330583
NCT04486729,4049641
NCT04464460,19025274
NCT04464460,19006871
NCT04483635,4144375
NCT03808922,4300185
NCT03808922,4019433
NCT03808922,4165535
NCT03852537,4300821
NCT03852537,4208341
NCT04475575,36308581
NCT04353245,19025274
NCT04346940,36310218
NCT04368832,429725
NCT04474483,706637
NCT04193878,4202832
NCT04193878,19025274
NCT04477668,4202832
NCT04477668,4168133
NCT04477668,19006871
NCT04447781,4132855
NCT04447781,4028623
NCT04447781,42538189
NCT04447781,36310218
NCT04447781,4234106
NCT04447781,40760199
NCT04487964,19025274
NCT04480606,36310218
NCT04475601,19025274
NCT04467112,4338837
NCT04467112,4311405
NCT04329897,40492529
NCT04487210,429709
NCT04487210,4144375
NCT04487210,42538189
NCT04487210,4144375
NCT04487210,4028623
NCT04487210,4314777
NCT04487210,42537894
NCT04487210,4220084
NCT04487210,4293435
NCT04487210,2313845
NCT04473183,4245372
NCT04476953,19025274
NCT04476953,45878735
NCT04476953,45878735
NCT03331445,36308581
NCT03331445,4027509
NCT04482621,4273629
NCT04278404,706637
NCT04278404,36310842
NCT04278404,45876308
NCT04344665,45878057
NCT04344665,45878057
NCT04439825,42538189
NCT04480593,4300185
NCT04480593,4242843
NCT04483908,4273629
NCT04406194,4256632
NCT04475562,36308581
NCT04400682,4256632
NCT04456933,706637
NCT04456933,4166767
NCT04467086,19006871
NCT04479358,19025274
NCT04479358,19006871
NCT04479358,4028623
NCT04479358,4208341
NCT04476979,4144375
NCT04476680,45875989
NCT04476680,4273629
NCT04476680,4029715
NCT04476680,4029715
NCT04476680,4092441
NCT04476680,45876308
NCT04473053,706637
NCT04480333,4144375
NCT04480333,4027509
NCT04482387,4108471
NCT04316949,19025274
NCT04447404,4324124
NCT04473131,4273629
