covidtrialID,procedureOMOPID
NCT04425031,36308581
NCT04425031,19025274
NCT04425031,4165535
NCT04418193,4163951
NCT04447469,4163872
NCT04447469,4300757
NCT04447469,19025274
NCT04346017,19025274
NCT04359667,4163872
NCT04359667,4300757
NCT04359667,4177224
NCT04359667,45768197
NCT04359667,19025274
NCT04359667,4013354
NCT04359667,4168133
NCT04359667,4299658
NCT04424849,4300757
NCT04438863,4208341
NCT04360811,4115153
NCT04345315,4141762
NCT04374058,412012
NCT04353609,4300757
NCT04383730,19025274
NCT04397796,4202832
NCT04397796,4106628
NCT04397796,4300757
NCT04397796,4052536
NCT04397796,4027509
NCT04397796,4330583
NCT04397796,4117038
NCT04470609,4144375
NCT04468646,19025274
NCT04386083,3720434
NCT04425382,4163872
NCT04425382,4300757
NCT04425382,4180938
NCT04386070,4013731
NCT04386070,4162381
NCT04391920,4052536
NCT04409496,4308496
NCT04450017,4177224
NCT04340466,4300757
NCT04429555,4211641
NCT04429555,4106628
NCT04429555,4300757
NCT04429555,36310597
NCT04429555,36308581
NCT04419571,4314251
NCT04419571,4214575
NCT04458246,4300185
NCT04360551,4027509
NCT04435223,19025274
NCT04435223,19006871
NCT04432870,4249893
NCT04472052,419819
NCT04470258,4058335
NCT04355754,45768197
NCT04355754,19025274
NCT04370249,36310597
NCT04455347,4300757
NCT04355715,4058335
NCT04327180,19025274
NCT04327180,4139525
NCT04381013,4252365
NCT04381013,4052536
NCT04381013,19025274
NCT04365608,4202832
NCT04354584,19025274
NCT04432922,4222885
NCT04429815,4308496
NCT04466241,4027509
NCT04416347,407374
NCT04416347,4106628
NCT04416347,19025274
NCT04416347,19025274
NCT04418245,2617376
NCT04342208,4222885
NCT04370808,4222885
NCT04445194,4144375
NCT04445194,4027509
NCT04427137,403084
NCT04427137,40484007
NCT04427137,403084
NCT04374071,19025274
NCT04245631,4180938
NCT04456361,4027509
NCT04352517,4222885
NCT04392219,414176
NCT04392219,4027509
NCT04357366,4300757
NCT04408391,3027941
NCT04360707,4208341
NCT04365959,4165535
NCT04342104,4165535
NCT04463602,4180938
NCT04463602,4163872
NCT04463602,4027509
NCT04410939,4046265
NCT04368975,4202832
NCT04368975,19025274
NCT04411563,45884381
NCT04434417,4180938
NCT04434417,42537894
NCT04434417,4273629
NCT04434417,4220084
NCT04416256,4300185
NCT04323644,4300757
NCT04323644,3027941
NCT04337359,4300757
NCT04333849,4222885
NCT04328454,407374
NCT04371029,4013354
NCT04371029,19025274
NCT04469114,4061019
NCT04469114,4163872
NCT04469114,4058335
NCT04447144,4222885
NCT04435015,4115429
NCT04435015,4202832
NCT04435015,36310597
NCT04435015,4302259
NCT04324047,4300757
NCT04324047,4041437
NCT04324047,4180938
NCT04324047,19025274
NCT04468971,4202832
NCT04453371,37208938
NCT04453371,37208938
NCT04320511,36308581
NCT04406181,429498
NCT04414293,4300757
NCT04414293,407374
NCT04373005,4220084
NCT04358588,36308581
NCT04358588,4211641
NCT04430049,19025274
NCT04430049,19025274
NCT04430049,4139525
NCT04285801,4222885
NCT04445246,4165535
NCT04445246,19025274
NCT04472728,4240345
NCT04472728,42537546
NCT04472728,3002644
NCT04472728,4027509
NCT04472728,45766058
NCT04472728,4330583
NCT04397172,19025274
NCT04403607,1004118
NCT04403607,3027941
NCT04420338,412012
NCT04468009,19025274
NCT04452604,407374
NCT04452604,4211641
NCT04462757,44791135
NCT04462757,35622675
NCT04462757,19006871
NCT04376593,407374
NCT04444687,21499495
NCT04449042,4174669
NCT04378803,4193507
NCT04459286,4222885
NCT04469491,423913
NCT04469491,19025274
NCT04383678,4052536
NCT04347694,706637
NCT04411459,19025274
NCT04422613,4033232
NCT04391686,19025274
NCT04391686,4202832
NCT04391686,4033232
NCT04418557,36310597
NCT04362930,4211641
NCT04362930,4300757
NCT04368338,36310597
NCT04433000,4178367
NCT04445961,4177224
NCT04379453,421613
NCT04376905,19025274
NCT04332913,408573
NCT04332913,19025274
NCT04424082,19025274
NCT04412369,4027509
NCT04350450,4273629
NCT04350450,45875989
NCT04447235,4300757
NCT04456595,4240345
NCT04344925,4165535
NCT04353596,4302259
NCT04412473,4300757
NCT04412473,4163872
NCT04443673,19025274
NCT04442048,706637
NCT04442048,4141762
NCT04442048,4313306
NCT04442048,42537546
NCT04379531,4300757
NCT04423315,4300757
NCT04312464,4211641
NCT04346953,4222885
NCT04322188,19025274
NCT04322188,4165535
NCT04322188,19025274
NCT04322188,4202832
NCT04425213,4019099
NCT04461925,4180938
NCT04461925,19025274
NCT04410107,4211641
NCT04445389,4027509
NCT04445389,40355609
NCT04427280,4029715
NCT04427280,4273629
NCT04460183,36308581
NCT04341480,4273629
NCT04467918,4222885
NCT04366921,37397252
NCT04366921,4180938
NCT04393402,423913
NCT04398264,4121697
NCT04444674,4027509
NCT04366830,4106628
NCT04366830,4300757
NCT04366830,37396411
NCT04366830,4230911
NCT04366830,45768197
NCT04401436,4139525
NCT04401436,19025274
NCT04401436,19025274
NCT04439006,4300757
NCT04439006,4300757
NCT04439006,36308581
NCT04439006,3002644
NCT04397588,4033232
NCT04397588,3720434
NCT04397588,4052536
NCT04389294,42527501
NCT04389294,38004465
NCT04452474,4300757
NCT04400461,19025274
NCT04400461,19025274
NCT04400461,19025274
NCT04470739,4163872
NCT04378829,4300757
NCT04459676,4211641
NCT04435028,4230911
NCT04407221,4208341
NCT04425005,706386
NCT04329559,4314001
NCT04272710,407374
NCT04430322,4300757
NCT04337788,3027941
NCT04466683,4220084
NCT04465513,45766058
NCT04465513,4127886
NCT04465513,429799
NCT04465513,4117038
NCT04465513,414194
NCT04465513,3002644
NCT04465513,3002644
NCT04465513,4027509
NCT04465513,4330583
NCT04379544,4044908
NCT04379544,4037672
NCT04445285,4139525
NCT04445285,19025274
NCT04445285,4300757
NCT04404192,3002644
NCT04404192,4027509
