sponsorName,sponsorID
washington university school of medicine,sponsor_0
"verastem, inc.",sponsor_1
assistance publique - hôpitaux de paris,sponsor_2
johns hopkins university,sponsor_3
peking university first hospital,sponsor_4
tufts medical center,sponsor_5
national institutes of health (nih),sponsor_6
exthera medical europe bv,sponsor_7
exthera medical corporation,sponsor_8
tanta university,sponsor_9
vicore pharma ab,sponsor_10
orphan reach,sponsor_11
kermanshah university of medical sciences,sponsor_12
acibadem university,sponsor_13
the scientific and technological research council of turkey,sponsor_14
"university hospital, geneva",sponsor_15
thomas agoritsas,sponsor_16
sebastian carballo,sponsor_17
pauline darbellay,sponsor_18
olivier grosgurin,sponsor_19
christophe marti,sponsor_20
mathieu nendaz,sponsor_21
jean-luc reny,sponsor_22
jacques serratrice,sponsor_23
aimad ourahmoune,sponsor_24
delphine courvoisier,sponsor_25
virginie prendki,sponsor_26
christine serratrice,sponsor_27
dina zekry,sponsor_28
omar kherad,sponsor_29
eric gerstel,sponsor_30
giuliano rizzardini,sponsor_31
asst fatebenefratelli sacco,sponsor_32
fundacion seimc-gesida,sponsor_33
roche pharma ag,sponsor_34
dynamic science s.l.,sponsor_35
medical college of wisconsin,sponsor_36
froedtert hospital,sponsor_37
university hospital plymouth nhs trust,sponsor_38
astrazeneca,sponsor_39
iqvia pty ltd,sponsor_40
covance,sponsor_41
university of malaya,sponsor_42
universidad nacional de colombia,sponsor_43
pontificia universidad javeriana,sponsor_44
clínica universitaria colombia,sponsor_45
hospital universitario san ignacio,sponsor_46
hospital universitario nacional de colombia,sponsor_47
clínica reina sofía,sponsor_48
fundación cardio infantil,sponsor_49
hospital universitario de neiva,sponsor_50
renji hospital,sponsor_51
qassim university,sponsor_52
universidade nova de lisboa,sponsor_53
nova medical school of universidade nova de lisboa,sponsor_54
"hospital de são francisco xavier, centro hospitalar de lisboa ocidental",sponsor_55
centro hospitalar universitário são joão,sponsor_56
cuf academic and research medical center,sponsor_57
"hospital cuf infante santo, s.a.",sponsor_58
"centro de medicina laboratorial germano de sousa, s.a.",sponsor_59
cintesis - center for health technology and services research,sponsor_60
bellerophon,sponsor_61
cairo university,sponsor_62
neoimmunetech,sponsor_63
king's college london,sponsor_64
zoe global limited,sponsor_65
massachusetts general hospital,sponsor_66
harvard school of public health,sponsor_67
stanford university,sponsor_68
celltex therapeutics corporation,sponsor_69
igenomix,sponsor_70
yale university,sponsor_71
ochsner health system,sponsor_72
bukwang pharmaceutical,sponsor_73
imperial college london,sponsor_74
heron therapeutics,sponsor_75
aerogen pharma limited,sponsor_76
ohio state university,sponsor_77
weill medical college of cornell university,sponsor_78
al-azhar university,sponsor_79
tongji hospital,sponsor_80
"gailen d. marshall jr., md phd",sponsor_81
university of mississippi medical center,sponsor_82
"institute of biotechnology, academy of military medical sciences, pla of china",sponsor_83
zhongnan hospital,sponsor_84
shanghai asclepius meditec inc.,sponsor_85
shanghai public health clinical center,sponsor_86
henan provincial people's hospital,sponsor_87
shenzhen third people's hospital,sponsor_88
the first people's hospital of yunnan,sponsor_89
"shanghai general hospital, shanghai jiao tong university school of medicine",sponsor_90
shanghai 6th people's hospital,sponsor_91
guangdong provincial hospital of traditional chinese medicine,sponsor_92
soroka university medical center,sponsor_93
abivax s.a.,sponsor_94
"services institute of medical sciences, pakistan",sponsor_95
national institute of environmental health sciences (niehs),sponsor_96
national institutes of health clinical center (cc),sponsor_97
state university of new york at buffalo,sponsor_98
university of michigan,sponsor_99
university of minnesota,sponsor_100
university of chicago,sponsor_101
"masonic cancer center, university of minnesota",sponsor_102
assistance publique hopitaux de marseille,sponsor_103
innate pharma,sponsor_104
