covidtrialID,sponsorID
NCT04372602,sponsor_0
NCT04372602,sponsor_1
NCT04364698,sponsor_2
NCT04482621,sponsor_3
NCT04459637,sponsor_4
NCT04425538,sponsor_5
NCT04425538,sponsor_6
NCT04547257,sponsor_7
NCT04547257,sponsor_8
NCT04454307,sponsor_9
NCT04452435,sponsor_10
NCT04452435,sponsor_11
NCT04333550,sponsor_12
NCT04432987,sponsor_13
NCT04432987,sponsor_14
NCT04537559,sponsor_15
NCT04537559,sponsor_16
NCT04537559,sponsor_17
NCT04537559,sponsor_18
NCT04537559,sponsor_19
NCT04537559,sponsor_20
NCT04537559,sponsor_21
NCT04537559,sponsor_22
NCT04537559,sponsor_23
NCT04537559,sponsor_24
NCT04537559,sponsor_25
NCT04537559,sponsor_26
NCT04537559,sponsor_27
NCT04537559,sponsor_28
NCT04537559,sponsor_29
NCT04537559,sponsor_30
NCT04336904,sponsor_31
NCT04336904,sponsor_32
NCT04445272,sponsor_33
NCT04445272,sponsor_34
NCT04445272,sponsor_35
NCT04354831,sponsor_36
NCT04354831,sponsor_37
NCT04351802,sponsor_38
NCT04540393,sponsor_39
NCT04540393,sponsor_40
NCT04540393,sponsor_41
NCT04345445,sponsor_42
NCT04359095,sponsor_43
NCT04359095,sponsor_44
NCT04359095,sponsor_45
NCT04359095,sponsor_46
NCT04359095,sponsor_47
NCT04359095,sponsor_48
NCT04359095,sponsor_49
NCT04359095,sponsor_50
NCT04508712,sponsor_51
NCT04361422,sponsor_9
NCT04460547,sponsor_52
NCT04355741,sponsor_53
NCT04355741,sponsor_54
NCT04355741,sponsor_55
NCT04355741,sponsor_56
NCT04355741,sponsor_57
NCT04355741,sponsor_58
NCT04355741,sponsor_59
NCT04355741,sponsor_60
NCT04388683,sponsor_5
NCT04388683,sponsor_61
NCT04377763,sponsor_2
NCT04421534,sponsor_62
NCT04501796,sponsor_63
NCT04331509,sponsor_64
NCT04331509,sponsor_65
NCT04331509,sponsor_66
NCT04331509,sponsor_67
NCT04331509,sponsor_68
NCT04428801,sponsor_69
NCT04466644,sponsor_70
NCT04431908,sponsor_71
NCT04343183,sponsor_72
NCT04347915,sponsor_73
NCT04333407,sponsor_74
NCT04470622,sponsor_75
NCT04452669,sponsor_76
NCT04452669,sponsor_77
NCT04406389,sponsor_78
NCT04342637,sponsor_79
NCT04291053,sponsor_80
NCT04412486,sponsor_81
NCT04412486,sponsor_82
NCT04552366,sponsor_83
NCT04552366,sponsor_84
NCT04336462,sponsor_85
NCT04336462,sponsor_86
NCT04336462,sponsor_87
NCT04336462,sponsor_88
NCT04336462,sponsor_89
NCT04336462,sponsor_90
NCT04336462,sponsor_91
NCT04336462,sponsor_92
NCT04534673,sponsor_93
NCT04393038,sponsor_94
